angle, time_diff, t, z, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
0.0, 900.0, 0.0, 0.0, 15.384787559509277, 3.655319929122925, 0.0, 1.049803172593615E-6, 6.28E15, 0.47721525846830115, 0.10031936407167906, -0.01710920351684589, 0.6803708224059422, 0.9162206734614264, 0.4327456730468553, 353.34322314529754, 1.6949564674810796E-5, 146.4437743209165, 8.776610220053922E-6, 1.5294539316669132E-4, 2.853620062116768E-5, 40.76186344688173, 0.595060165192173, -0.009842360357473531, -49.9873, 150.5278, 10491
0.0, 900.0, 1.0, -0.009996159329846434, 16.634052069844987, 3.659172832460008, 3.8508501296541207E-4, 1.049803172593615E-6, 6.216164175269213E15, 0.47721525846830115, 0.10031936407167906, -0.01710920351684589, 0.6803708224059422, 0.9162206734614264, 0.4327456730468553, 382.4378322408719, 1.6546951158890762E-5, 146.43276844014, 8.776615897242292E-6, 1.5294533349292198E-4, 2.879042385486894E-5, 40.759989108395395, 0.5929167461907183, -0.009843213936679742, -49.9872, 150.5284, 10491
0.0, 900.0, 1.0563896734925413, -0.010577581789209143, 16.701714738412758, 3.6593899755949453, 4.070265674224513E-4, 1.0692577013147465E-6, 6.22102059430065E15, 0.48159479991055043, 0.10091935590786168, -0.016820351157177477, 0.6948140001296923, -0.07449485502067443, 1.4567963026145785, 384.01626930524776, 1.65268042280078E-5, 146.43215582449992, 9.273649075806755E-6, 1.5866650038048885E-4, 2.880475946475026E-5, 40.75988340680403, 0.5927958884747015, -0.009843213936679742, -49.9872, 150.5285, 10491
0.0, 900.0, 1.1159591422616781, -0.011192621409388709, 16.77289640925294, 3.6596193493659124, 4.302317188773662E-4, 1.070291997486316E-6, 6.218759795178105E15, 0.4818253889176883, 0.10095137612685456, -0.016804757567767684, 0.686732522037171, 0.6141306520322336, 0.7702729551575462, 385.6770958553414, 1.650572997643365E-5, 146.43150865154624, 9.300587476067627E-6, 1.5897360600124227E-4, 2.881990346328426E-5, 40.759771744968255, 0.5926682173041224, -0.009843213936679742, -49.9872, 150.5285, 10491
0.0, 900.0, 1.1788877139248306, -0.011842363633950198, 16.847765336200467, 3.659861641834636, 4.5477477812875514E-4, 1.0713769636342045E-6, 6.216363550020305E15, 0.4820670329603595, 0.1009849771349322, -0.01678837470941917, 0.6829422845488041, 0.7514613009381391, 0.6351818532873533, 387.42428544812293, 1.6483695794828002E-5, 146.43080319599486, 9.328899876767736E-6, 1.592960665387601E-4, 2.8835901437463985E-5, 40.759653786850386, 0.5925333474528083, -0.009843213936679742, -49.9872, 150.5285, 10491
0.0, 900.0, 1.2453648071974204, -0.012528767608509846, 16.926496405233856, 3.660117579675108, 4.807346017273657E-4, 1.0725146996725615E-6, 6.213824216284559E15, 0.48232016475852796, 0.10102022556783942, -0.016771167218163463, 0.6978161703829967, -0.9640069182157286, 2.3530361316149486, 389.26197232509094, 1.6460670358172216E-5, 146.43008097728418, 9.358652799362317E-6, 1.596345713097196E-4, 2.885280154245034E-5, 40.7595291774391, 0.5923908730653098, -0.009843213936679742, -49.9872, 150.5286, 10491
0.0, 900.0, 1.3155905220543846, -0.013253903196998935, 17.00927127047776, 3.6603879303292923, 5.081948896773263E-4, 1.0737073882639E-6, 6.211133813275834E15, 0.48258523181707974, 0.10105719076219179, -0.01675309810238114, 0.6960996649024023, -0.42352398686103204, 1.815095524218823, 391.19445523052707, 1.6436620473342834E-5, 146.42929624436957, 9.389908906690628E-6, 1.5998980229486255E-4, 2.8870654651697523E-5, 40.75939754170796, 0.5922403654088546, -0.009843213936679742, -49.9872, 150.5286, 10491
0.0, 900.0, 1.3897762420429134, -0.014019957248665872, 17.096278482596958, 3.660673504281897, 5.372445047127611E-4, 1.0749572222496656E-6, 6.208284020144276E15, 0.4828626800032691, 0.10109594251277067, -0.016734129812135984, 0.6855313761679305, 0.6315591950254877, 0.7627211855219596, 393.22620111538595, 1.64115149542012E-5, 146.42849027762085, 9.422739021737282E-6, 1.6036248683664158E-4, 2.8889514505194092E-5, 40.75925848348722, 0.5920813715841851, -0.009843213936679742, -49.9872, 150.5286, 10491
0.0, 900.0, 1.4681452705594045, -0.014829240227984316, 17.187713608787586, 3.660975157460648, 5.679778150404583E-4, 1.076266484068777E-6, 6.205266175604366E15, 0.4831529709001979, 0.10113655353936607, -0.016714223005783096, 0.6938773382967734, -0.03684951523227232, 1.4340162102524574, 395.3618487138307, 1.6385321006244823E-5, 146.42761707436577, 9.457210399795218E-6, 1.6075334766826367E-4, 2.890943787492249E-5, 40.75911158427238, 0.5919134131643493, -0.009843213936679742, -49.9872, 150.5287, 10491
0.0, 900.0, 1.550933503005868, -0.015684193209553624, 17.283779343604085, 3.661293793768815, 6.004950623751847E-4, 1.077637461778277E-6, 6.202071279553259E15, 0.4834565628560599, 0.1011790968876894, -0.016693337793196955, 0.6962925098933211, -0.5620984769214473, 1.9623404508382682, 397.6062119806104, 1.6358008090304968E-5, 146.42671764818166, 9.493398542014417E-6, 1.6116315254201748E-4, 2.8930484733994723E-5, 40.7589564019648, 0.5917359847559736, -0.009843213936679742, -49.9872, 150.5287, 10491
