angle, time_diff, t, z, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
90.0, 900.0, 1.0, -0.009976321631173079, 16.634052069809737, 3.654821260939263, 3.637085254586744E-4, 1.8544737302678938E-6, 5.912380185808799E14, 0.6094410680725203, 0.12428668984784354, -4.968008406515123E-4, 0.6859579450125558, 0.34266276568428383, 1.3819126983927843, 352.9215350355194, 3.0643112614764733E-5, 146.63388157792446, 4.843739839568023E-5, 4.7744322815288556E-4, 2.717221231815966E-5, 40.769411696220516, 0.6018956595417051, -0.009823432413654356, -49.9868, 150.5256, 10491
90.0, 900.0, 1.0, -0.009976321631173079, 16.634052069807403, 3.6518596798415026, 3.61987368932746E-4, 1.8544737302678938E-6, 5.912380185808799E14, 0.6094410680725203, 0.12428668984784354, -4.968008406515123E-4, 0.6859579450125558, 0.34266276568428383, 1.3819126983927843, 381.6734993267609, 2.833472403709502E-5, 146.63389800114257, 4.843734455081273E-5, 4.7744306214219544E-4, 2.717221231917404E-5, 40.769411696220516, 0.6018956595417051, -0.009823432413654356, -49.9868, 150.5256, 10491
90.0, 900.0, 1.0564406686968904, -0.010558483290665022, 16.7017758040902, 3.6520777505132007, 3.8264301493074984E-4, 1.8808040292742536E-6, 5.922529033040412E14, 0.6125432759763361, 0.12498937374824955, 1.4964465944534988E-4, 0.691210008286086, -0.3531908058876822, 2.150359638466117, 383.2503258900254, 2.8218144520388654E-5, 146.63326267188063, 5.052995083541236E-5, 4.910970025568699E-4, 2.7186562587728726E-5, 40.76930588900367, 0.601774685743961, -0.009823480611895336, -49.9868, 150.5256, 10491
90.0, 900.0, 1.1160668864767327, -0.011173521324877068, 16.773024882905762, 3.6523081150958827, 4.0449060337448733E-4, 1.881313797650794E-6, 5.92377470538233E14, 0.6126027880926924, 0.12500292308031632, 1.621988435283328E-4, 0.6900713353398814, -0.21369964632563326, 2.0123132857865818, 384.9095334590713, 2.8096506174484607E-5, 146.63261453115973, 5.0571054349665475E-5, 4.913632500173775E-4, 2.7201722804611075E-5, 40.76919411021931, 0.6016468846928302, -0.009823529377969663, -49.9868, 150.5257, 10491
90.0, 900.0, 1.1790584478599357, -0.01182329338518898, 16.847968013364266, 3.652551465827498, 4.276004453766539E-4, 1.8818492972563964E-6, 5.925085562780994E14, 0.6126652819419296, 0.12501715409226957, 1.7538827511870414E-4, 0.6904559908111988, -0.2666756850259461, 2.0668081749951135, 386.6550989020243, 2.7969663698114414E-5, 146.63192980883608, 5.061425665643044E-5, 4.916430143767491E-4, 2.7217738684082483E-5, 40.76907602285868, 0.6015118711217364, -0.00982358089885641, -49.9868, 150.5257, 10491
90.0, 900.0, 1.2456052950898682, -0.012509762195762317, 16.926780558338745, 3.6528085338267138, 4.5204717388142257E-4, 1.8824116998512996E-6, 5.926464762746481E14, 0.612730890925194, 0.1250320975857955, 1.8924204897638464E-4, 0.6887760767715702, -0.08288429976357242, 1.8846131436817173, 388.4911600663189, 2.7837474826582307E-5, 146.63118462485676, 5.065964654501995E-5, 4.919368910440376E-4, 2.7234658520795437E-5, 40.76895127089559, 0.6013692380274236, -0.009823635329895447, -49.9868, 150.5257, 10491
90.0, 900.0, 1.3159080908771277, -0.013235001506574013, 17.009644673050854, 3.6530800912654535, 4.7791002879568346E-4, 1.883002185320196E-6, 5.927915591653928E14, 0.6127997490182517, 0.12504778454059895, 2.0378948600321967E-4, 0.6877138657056185, 0.013033362606171639, 1.790372830498851, 390.4220196095684, 2.7699802637952613E-5, 146.63042042880352, 5.0707342020316136E-5, 4.922455665008951E-4, 2.7252533336884872E-5, 40.76881947821328, 0.6012185554436273, -0.009823692835242247, -49.9868, 150.5258, 10491
90.0, 900.0, 1.390178823469881, -0.014001202391538174, 17.096749434005673, 3.653366953661524, 5.052731628112211E-4, 1.8836219545354755E-6, 5.929441467908512E14, 0.6128719922438449, 0.1250642464532956, 2.1906045205438707E-4, 0.6896050855691266, -0.18020970896629762, 1.985377806207409, 392.4521487159809, 2.7556512882975448E-5, 146.62959128575542, 5.075742567982731E-5, 4.925696255830286E-4, 2.727141703364734E-5, 40.76868024747128, 0.6010593691465811, -0.009823753589449579, -49.9868, 150.5258, 10491
90.0, 900.0, 1.4686414458747774, -0.014810679892850792, 17.188290959476568, 3.6536699822978274, 5.34225970345419E-4, 1.88427229498605E-6, 5.931045945026504E14, 0.6129477662854022, 0.12508151707689025, 2.3508697752366858E-4, 0.6903010824722595, -0.2694640340005486, 2.076482404008354, 394.5861906853107, 2.7407478891394263E-5, 146.62873839166375, 5.0810025182321265E-5, 4.929098140709646E-4, 2.7291366553944265E-5, 40.76853315890788, 0.600891199286691, -0.009823817775473686, -49.9868, 150.5259, 10491
90.0, 900.0, 1.5515325511559177, -0.01566588005650996, 17.284472520774006, 3.65399008677497, 5.648634404287757E-4, 1.8849544795245422E-6, 5.932732714621565E14, 0.6130272146469339, 0.12509962972751143, 2.519007650908789E-4, 0.687498298879747, 0.018742015157184957, 1.7902187752323848, 396.82896438252544, 2.725257847576905E-5, 146.62781554463373, 5.0865229911225103E-5, 4.932667575899567E-4, 2.731244205558111E-5, 40.76837776907512, 0.6007135389435767, -0.009823885588118579, -49.9868, 150.5259, 10491
