angle, time_diff, t, z, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, CCS_cal, V_inter, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
45.0, 900.0, 2.8382922891536566, -0.02894598028343682, 18.71425606053958, 3.658955635735717, 0.0010471338883530118, 1.8948415619198133E-6, 6.904225071327812E14, 0.6141745610638623, 0.12536172424027295, 4.958753364308344E-4, 0.6843242056996147, 0.20455593032679664, 1.6326967662590084, 430.23880592743586, 423.18643285702757, 208627.55035773324, 2.513629798742513E-5, 146.6136538555972, 5.16698925271303E-5, 4.984547256027143E-4, 2.7639609761522085E-5, 40.765965642513294, 0.5979557786903826, -0.00982493874132783, -49.9868, 150.5266, 10491
45.0, 900.0, 2.9984874039107163, -0.030599857274366437, 18.884681212547125, 3.6595733499933565, 0.0011080526344496562, 1.8960131825392634E-6, 6.907052403213304E14, 0.6143100129968326, 0.12539273087386807, 5.248218252365544E-4, 0.68934824023971, -0.26059640781949767, 2.1012140990181263, 434.23015796481513, 427.0449086719395, 210548.29989957454, 2.490524993823791E-5, 146.61189070825063, 5.1765804065266554E-5, 4.990712974520334E-4, 2.7680340789597946E-5, 40.76566535368567, 0.597612471042198, -0.009825069914997773, -49.9868, 150.5267, 10491
45.0, 900.0, 3.16772403806664, -0.03234721262891392, 19.06307031610495, 3.6602258152170726, 0.0011726212993829809, 1.8972361148766202E-6, 6.910018029406575E14, 0.614451282605109, 0.12542508381866227, 5.550440041258986E-4, 0.6830453858571888, 0.2789259036163538, 1.5652057885210524, 438.41014751369926, 431.08446746441797, 212559.7280606544, 2.466779215180858E-5, 146.61002927880816, 5.186604325565721E-5, 4.997152801127867E-4, 2.772337077541476E-5, 40.76534811847142, 0.5972497915951096, -0.009825208506994929, -49.9868, 150.5268, 10491
45.0, 900.0, 3.3465125010223344, -0.03419333627121678, 19.249732164560626, 3.660914979698892, 0.001241070563614063, 1.8985120163925901E-6, 6.91312793159196E14, 0.6145985465418105, 0.12545882540917033, 5.865838576936677E-4, 0.6893811489115242, -0.2840603311952806, 2.13185962751122, 442.78632794215747, 435.3122308323662, 214665.46123484353, 2.4423992503822746E-5, 146.60804220821868, 5.1970752998259305E-5, 5.003875705597011E-4, 2.776882948093124E-5, 40.76501298065074, 0.5968666475368449, -0.009825354937732409, -49.9868, 150.5269, 10491
45.0, 900.0, 3.535391904382538, -0.03614381810465833, 19.444983017620785, 3.661642900188124, 0.001313647011622461, 1.8998426073539711E-6, 6.916388298595205E14, 0.6147519874340542, 0.12549399950905435, 6.194850101374216E-4, 0.6811466789272578, 0.3775929539279569, 1.4740322457141688, 447.36646324280696, 439.7355061268936, 216869.22736020022, 2.417393930924E-5, 146.60596726039634, 5.2080111694863566E-5, 5.010891904892322E-4, 2.781685399429354E-5, 40.764658930062645, 0.5964618844390643, -0.009825509651191023, -49.9868, 150.527, 10491
45.0, 900.0, 3.734931787571461, -0.038204565092246325, 19.649146543772318, 3.6624117478401494, 0.0013906143687009548, 1.901229570069431E-6, 6.919805531736328E14, 0.6149117821820751, 0.1255306488388518, 6.53790239058899E-4, 0.6824429869892512, 0.29547257887329587, 1.5601413133094781, 452.15853008069666, 444.3617870515627, 219174.85708685726, 2.39177385510121E-5, 146.6037764321528, 5.219426735642107E-5, 5.018210596273795E-4, 2.7867589141946568E-5, 40.764284899563705, 0.5960342827867899, -0.009825673117734888, -49.9868, 150.5271, 10491
45.0, 900.0, 3.945733835199266, -0.04038181928623054, 19.862553758798857, 3.663223814481301, 0.0014722548460290052, 1.9026746083073288E-6, 6.923386250485592E14, 0.6150781087489918, 0.12556881653998336, 6.895429487066007E-4, 0.6855040731529092, 0.06691427133491841, 1.792855540581073, 457.1707200368907, 449.1987543715085, 221586.28507465223, 2.365551599072721E-5, 146.6014631830863, 5.2313381023540266E-5, 5.025841431825709E-4, 2.7921187925192656E-5, 40.763889761815804, 0.5955825543132507, -0.00982584583340247, -49.9868, 150.5273, 10491
45.0, 900.0, 4.168433691357858, -0.042682176909995914, 20.08554296221738, 3.664081519205472, 0.0015588706076489149, 1.9041794304122273E-6, 6.927137298470691E14, 0.6152511441407525, 0.1256085457205883, 7.267867572646469E-4, 0.6821488755896912, 0.2953591184710182, 1.5687381587392941, 462.4114421131425, 454.2542767925686, 224107.55145664085, 2.338741612522231E-5, 146.59899879307122, 5.243760614929911E-5, 5.033793851007358E-4, 2.7977811981808315E-5, 40.76347232589273, 0.5951053381283393, -0.009826028322887481, -49.9868, 150.5274, 10491
45.0, 900.0, 4.403702876316743, -0.04511260852396499, 20.318459673592553, 3.664987415318708, 0.0016507853693305985, 1.905745782401315E-6, 6.931065749887108E14, 0.6154310681336155, 0.12564988032089716, 7.655663210579255E-4, 0.683312725956782, 0.2110080237017624, 1.6575925371608278, 467.8893255679981, 459.5364120751561, 226742.803507466, 2.3113603995378523E-5, 146.59641958410282, 5.2567130270572236E-5, 5.042078425045239E-4, 2.8037632074496478E-5, 40.76303133369568, 0.5946011966296454, -0.009826221140447003, -49.9868, 150.5275, 10491
45.0, 900.0, 4.652250811398479, -0.04768048036230334, 20.561656570796078, 3.665944197648694, 0.0017483461443022115, 1.9073753492184955E-6, 6.935178916366869E14, 0.6156180518550678, 0.1256928624991484, 8.059248947274444E-4, 0.6826804451147088, 0.24616755229982004, 1.6271160305037158, 473.61322315924707, 465.0534084518289, 229496.29755826597, 2.2834261343767193E-5, 146.59367422394018, 5.270209896035371E-5, 5.050704296146375E-4, 2.810082860539585E-5, 40.7625654561674, 0.5940686111843059, -0.009826424873068878, -49.9868, 150.5277, 10491
45.0, 900.0, 4.914826958139459, -0.05039357685827187, 20.81549343236295, 3.666954710236695, 0.0018519251499423284, 1.909069879519852E-6, 6.939484354364362E14, 0.6158122720439342, 0.12573753591650616, 8.479074253548713E-4, 0.6893601569594464, -0.365933220302353, 2.244083463379065, 479.5922148718062, 470.81370642126484, 232372.4012023396, 2.2549589632608212E-5, 146.59077637645206, 5.284269427772502E-5, 5.059681883032465E-4, 2.816759216123267E-5, 40.762073289292765, 0.5935059775679217, -0.009826640139774096, -49.9868, 150.5278, 10491
45.0, 900.0, 5.192223078186354, -0.05326012449869381, 21.08033708615246, 3.668021954430176, 0.001961921892141615, 1.9108310841159157E-6, 6.943989873120696E14, 0.6160138993150249, 0.12578394304936333, 8.915580424792291E-4, 0.688136265264018, -0.24064984699614053, 2.1238539486078722, 485.83561221381547, 476.8259409946298, 235375.59583815228, 2.225980739435597E-5, 146.5877174351304, 5.29890875845654E-5, 5.069021179354989E-4, 2.8238124085814303E-5, 40.76155334987457, 0.5929116011477089, -0.00982686759607495, -49.9868, 150.528, 10491
