angle, time_diff, t, z, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, CCS_rest, V, V_rest, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
0.0, 900.0, 0.0, 0.0, 15.384787559509277, 3.655319929122925, 0.0, 1.049803172593615E-6, 6.28E15, 0.47721525846830115, 0.10031936407167906, -0.01710920351684589, 0.6803708224059422, 0.9162206734614264, 0.4327456730468553, 353.34322314529754, 353.34322314529754, 1646579.4198570866, 1646579.4198570866, 1.6949564674810796E-5, 146.4437743209165, 8.776610220053922E-6, 1.5294539316669132E-4, 2.853620062116768E-5, 40.76186344688173, 0.595060165192173, -0.009842360357473531, -49.9873, 150.5278, 10491
0.0, 900.0, 1.0, -0.009996159329846434, 16.634052069844987, 3.659172832460008, 3.8508501296541207E-4, 1.049803172593615E-6, 6.216164175269213E15, 0.47721525846830115, 0.10031936407167906, -0.01710920351684589, 0.6803708224059422, 0.9162206734614264, 0.4327456730468553, 382.4378322408719, 378.84611949206385, 1782160.298242463, 1765422.9168330175, 1.6546951158890762E-5, 146.43276844014, 8.776615897242292E-6, 1.5294533349292198E-4, 2.879042385486894E-5, 40.759989108395395, 0.5929167461907183, -0.009843213936679742, -49.9872, 150.5284, 10491
0.0, 900.0, 1.0563896734925413, -0.01056016272171019, 16.701714738412758, 3.6593899755949453, 4.070265686022515E-4, 1.0692577013147465E-6, 6.22102059430065E15, 0.48159479991055043, 0.10091935590786168, -0.016820351157177477, 0.6948140001296923, -0.07449485502067443, 1.4567963026145785, 384.01626930524776, 380.270693501342, 1789515.8149624546, 1772061.4317162537, 1.652680393576684E-5, 146.43215609812245, 9.273649053191973E-6, 1.5866650038048885E-4, 2.8804759548320832E-5, 40.75988341956029, 0.5927958894868324, -0.009843224926395663, -49.9872, 150.5285, 10491
0.0, 900.0, 1.1159591422616781, -0.011155991280773285, 16.77289640925294, 3.6596193493659124, 4.3023172142799275E-4, 1.0702919911777124E-6, 6.218746824213767E15, 0.4818253875119155, 0.10095137593151533, -0.016804757662951433, 0.6888950148257472, 0.5009940950074022, 0.8834094992625897, 385.6770958553414, 381.7673011623177, 1797255.266685891, 1779035.6234164005, 1.6505729059467398E-5, 146.4315092262087, 9.300587263905183E-6, 1.5897360412717154E-4, 2.8819903635709855E-5, 40.75977177122856, 0.5926682183041909, -0.009843273711057837, -49.9872, 150.5285, 10491
0.0, 900.0, 1.1788877139248306, -0.01178544195323794, 16.847765336200467, 3.659861641834636, 4.5477478229291384E-4, 1.0713769437942958E-6, 6.216336611802849E15, 0.4820670285438664, 0.10098497652038485, -0.016788375009236342, 0.6903631423947244, 0.39625628783090844, 0.9903868251210948, 387.42428544812293, 383.3391950672173, 1805397.1701882528, 1786360.6490132327, 1.648369387667439E-5, 146.4308040886434, 9.328899284150567E-6, 1.5929606063902642E-4, 2.8835901702964246E-5, 40.75965382737667, 0.5925333484450759, -0.009843325248699077, -49.9872, 150.5285, 10491
0.0, 900.0, 1.2453648071974204, -0.01245041326476529, 16.926496405233856, 3.660117579675108, 4.8073460777595605E-4, 1.0725146580708875E-6, 6.213782241961384E15, 0.4823201555076424, 0.10102022427872535, -0.016771167847880575, 0.69132693221849, 0.3014227999393361, 1.0876063255126507, 389.26197232509094, 384.9897389403548, 1813960.7910349239, 1794052.1834620535, 1.6460667014448057E-5, 146.43008220581657, 9.358651607645116E-6, 1.5963455892561849E-4, 2.88528019068323E-5, 40.75952923303613, 0.5923908740546358, -0.00984337969442977, -49.9872, 150.5286, 10491
0.0, 900.0, 1.3155905220543846, -0.013152911077080541, 17.00927127047776, 3.6603879303292923, 5.081948979121404E-4, 1.0737073155616853E-6, 6.211075657105966E15, 0.48258521566856644, 0.10105718850847926, -0.016753099204762797, 0.6911977930221538, 0.297963218765978, 1.093608162347184, 391.19445523052707, 386.72240834032317, 1822966.1613742562, 1802126.422865906, 1.6436615227561695E-5, 146.42929782768996, 9.38990686648793E-6, 1.59989780628601E-4, 2.887065512023305E-5, 40.75939761322609, 0.5922403664010942, -0.00984343721324902, -49.9872, 150.5286, 10491
0.0, 900.0, 1.3897762420429134, -0.0138950546657973, 17.096278482596958, 3.660673504281897, 5.372445154694153E-4, 1.074957107891386E-6, 6.208208454657338E15, 0.48286265463201916, 0.10109593896631736, -0.016734131549273806, 0.6861469211645985, 0.610057925635015, 0.7842222049746054, 393.22620111538595, 388.54079113425934, 1832434.0971976984, 1810600.0866856484, 1.641150727337303E-5, 146.428492235696, 9.422735849644343E-6, 1.6036245271662866E-4, 2.8889515083945356E-5, 40.75925857182481, 0.5920813725862057, -0.00984349797799046, -49.9872, 150.5286, 10491
0.0, 900.0, 1.4681452705594045, -0.014679083150905336, 17.187713608787586, 3.660975157460648, 5.67977828672509E-4, 1.076266316165951E-6, 6.205171886822361E15, 0.4831529336955121, 0.10113654833022916, -0.0167142255610761, 0.6976171774628142, -0.9839530001684601, 2.3811193218661564, 395.3618487138307, 390.4485876699406, 1842386.215006451, 1819490.4185419232, 1.638531029623781E-5, 146.4276194282821, 9.457205774827678E-6, 1.6075329751165358E-4, 2.8909438569150516E-5, 40.75911169037833, 0.5919134141840181, -0.009843562172768635, -49.9872, 150.5287, 10491
0.0, 900.0, 1.550933503005868, -0.015507362285405961, 17.283779343604085, 3.661293793768815, 6.004950793338414E-4, 1.077637226984641E-6, 6.201956861907626E15, 0.48345651089637603, 0.10117908960015665, -0.01669334137349944, 0.6967562452932757, -0.6991101858733763, 2.099351628511985, 397.6062119806104, 392.4496106630708, 1852844.9478296444, 1828815.18568991, 1.6357993691000045E-5, 146.426720420212, 9.493392101727084E-6, 1.6116308231417227E-4, 2.893048555133974E-5, 40.75895652684182, 0.5917359858025963, -0.009843629990617374, -49.9872, 150.5287, 10491
0.0, 900.0, 1.6383901368490124, -0.016382391638084748, 17.384685609906544, 3.661630367757093, 6.349027782577871E-4, 1.079072210986528E-6, 6.198553947855E15, 0.48377385810655554, 0.1012236385383191, -0.01667143734683016, 0.6823844978257441, 0.7204647055819147, 0.6830530139233801, 399.9642833790117, 394.54778477665536, 1863833.5605461944, 1838592.677059214, 1.632952553472749E-5, 146.42574892925376, 9.531366702220295E-6, 1.6159256892342056E-4, 2.895271938388204E-5, 40.75879261424963, 0.5915485535646625, -0.009843701636998627, -49.9872, 150.5288, 10491
0.0, 900.0, 1.7307784217193283, -0.017306812176533456, 17.49064964927408, 3.661985887442311, 6.713141306698909E-4, 1.0805736384079499E-6, 6.194953377998095E15, 0.4841054420029005, 0.10127027105180206, -0.01664847132135734, 0.6876791878858073, 0.47265398237864187, 0.9343539664779071, 402.4412370110237, 396.74714588456465, 1875376.1644713704, 1848841.6998220712, 1.6299876435435712E-5, 146.42474567258137, 9.571209761887317E-6, 1.620425634700638E-4, 2.897620699636301E-5, 40.75861945931098, 0.5913505535030019, -0.009843777327507495, -49.9872, 150.5288, 10491
0.0, 900.0, 1.8283764518080172, -0.01828341429069623, 17.601896101305893, 3.6623614172807946, 7.098494939261097E-4, 1.0821439567491566E-6, 6.191145059239585E15, 0.48445174090181486, 0.1013190656055531, -0.016624399397551504, 0.6971992005533351, -0.9613896467202838, 2.372115341387036, 405.0424315836561, 399.05184000587246, 1887497.7311798374, 1859581.5744273658, 1.6269016011051032E-5, 146.42366405473473, 9.612997838823703E-6, 1.6251386539297766E-4, 2.9001019091350702E-5, 40.75843654092606, 0.5911413898653741, -0.009843857291449662, -49.9872, 150.5289, 10491
0.0, 900.0, 1.9314780029469225, -0.01931514626374724, 17.718657071323566, 3.6627580813046228, 7.506368705732288E-4, 1.0837856058885603E-6, 6.187118582709004E15, 0.4848132256636536, 0.10137010058642754, -0.0165991771995775, 0.6820281663235231, 0.6947662902088303, 0.7199188170104223, 407.7734132080473, 401.4661219135806, 1900224.1055495006, 1870832.1281172857, 1.6236916718828887E-5, 146.4225444607873, 9.656815862704906E-6, 1.6300731750886515E-4, 2.9027230358271248E-5, 40.75824330861914, 0.5909204333244173, -0.009843941769619734, -49.9872, 150.529, 10491
0.0, 900.0, 2.040393416891125, -0.020405123235380813, 17.84117218609536, 3.663177066429414, 7.938124392517428E-4, 1.0855010948847627E-6, 6.182863237164896E15, 0.4851903762726781, 0.10142345668865621, -0.01657275866241223, 0.6723289093102963, 0.9121201051792598, 0.5067810120057856, 410.63991803111077, 403.99435341871003, 1913582.0180249761, 1882613.6869311887, 1.620355038021036E-5, 146.42133994572774, 9.702745072145497E-6, 1.6352375441298445E-4, 2.905491969918143E-5, 40.75803918088258, 0.5906870190860696, -0.00984403101795756, -49.9872, 150.529, 10491
0.0, 900.0, 2.1554505354659463, -0.021556636665090258, 17.96968863732643, 3.6636196259427054, 8.395211279677558E-4, 1.0872929166888151E-6, 6.17836802528605E15, 0.4855836626956274, 0.10147921425970946, -0.0165450973063912, 0.6782577542324393, 0.7867601052438339, 0.6366291318995249, 413.6478747029781, 406.64100129441607, 1927599.0961158779, 1894947.066031979, 1.6168891595932824E-5, 146.42006873700402, 9.750873316226266E-6, 1.640640433221437E-4, 2.9084170465692683E-5, 40.75782354342835, 0.5904404448923941, -0.009844125305408142, -49.9872, 150.5291, 10491
0.0, 900.0, 2.2769956873901944, -0.022773164344383846, 18.1044612127966, 3.6640870831824386, 8.879172320434804E-4, 1.0891636153936549E-6, 6.173621682361196E15, 0.4859935593086785, 0.10153745538694207, -0.016516145166352914, 0.6892744365189238, 0.2658617965683324, 1.1623039306763827, 416.8034066874113, 409.41063491075056, 1942303.8751633368, 1907853.5586840976, 1.613291599484238E-5, 146.4187270737536, 9.801289837402354E-6, 1.6462906720777357E-4, 2.9115070709432892E-5, 40.75759574734078, 0.5901799689116092, -0.009844224917300195, -49.9872, 150.5291, 10491
0.0, 900.0, 2.4053947307460524, -0.024058380974002737, 18.24575231517913, 3.6645808354155083, 9.391650819708657E-4, 1.0911157383343791E-6, 6.168612698426795E15, 0.4864205339986921, 0.10159826240105492, -0.016485853493261163, 0.6958176450675994, -0.7550502675134745, 2.188297739654706, 420.1128344266465, 412.3079235271783, 1957725.8084281727, 1921354.9236366507, 1.6095601303072168E-5, 146.4173327696493, 9.854087710079546E-6, 1.6521972994702538E-4, 2.914771344890721E-5, 40.757355107125186, 0.5899048075095341, -0.009844330154758234, -49.9872, 150.5292, 10491
0.0, 900.0, 2.5410341542335018, -0.02541616934736786, 18.393831968738116, 3.665102357926827, 9.934397654325648E-4, 1.0931518507566395E-6, 6.163329342900096E15, 0.4868650510130213, 0.10166171832357204, -0.016454172491798216, 0.6926917560189768, -0.1636928261459296, 1.6023448308374433, 423.5826773767682, 415.33763330044064, 1973895.2765757397, 1935473.3711800533, 1.605692587207889E-5, 146.41583805427805, 9.909357065695258E-6, 1.6583692310678436E-4, 2.9182196946829904E-5, 40.75710089864673, 0.5896141328958211, -0.009844441336354638, -49.9872, 150.5293, 10491
0.0, 900.0, 2.684322240524125, -0.026850632164930034, 18.548977814277137, 3.665653208329838, 0.0010509279075007396, 1.0952744929994967E-6, 6.157759692346246E15, 0.4873275612523946, 0.10172790552068209, -0.01642105195195666, 0.6933490461349526, -0.2966278592784137, 1.7410252285450016, 427.2196559346751, 418.5046239911909, 1990843.5966555858, 1950231.5477989495, 1.601687153170648E-5, 146.41426028081742, 9.967194969720774E-6, 1.6648157087515992E-4, 2.9218625008608948E-5, 40.75683235695326, 0.5893070706375947, -0.009844558797624775, -49.9872, 150.5294, 10491
0.0, 900.0, 2.835690295216047, -0.028366104533178994, 18.711475092894826, 3.666235031109928, 0.0011118285166185576, 1.0974862353424614E-6, 6.151891660777309E15, 0.4878085138857467, 0.10179690739833419, -0.016386440361325694, 0.671995755406846, 0.8685390327690881, 0.5819632018668679, 431.030693282912, 421.8138454249356, 2008603.03069837, 1965652.5196802, 1.597542185371388E-5, 146.41259476561115, 1.0027699765838508E-5, 1.6715460912604675E-4, 2.9257107293278088E-5, 40.756548673975544, 0.5889826970337504, -0.009844682894288564, -49.9872, 150.5295, 10491
0.0, 900.0, 2.995593945089248, -0.02996716716983593, 18.881616619292288, 3.666849562412717, 0.001176353899572229, 1.0997896291328165E-6, 6.145713032853324E15, 0.48830834533188827, 0.10186880686193198, -0.01635028563260202, 0.6955928097426576, -0.9049824072770642, 2.3619681269146344, 435.022917184084, 425.27033371966286, 2027206.7940778316, 1981759.7551336288, 1.593256283036884E-5, 146.41083656088992, 1.0090971690457072E-5, 1.6785698075050303E-4, 2.9297759643971137E-5, 40.75624899609797, 0.5886400363411601, -0.00984481400188143, -49.9872, 150.5296, 10491
0.0, 900.0, 3.1645145095690648, -0.03165866036479272, 19.05970274556867, 3.667498635089752, 0.0012447306551966414, 1.1021872124654973E-6, 6.139211499584864E15, 0.48882748017073896, 0.1019436864728366, -0.016312534984651017, 0.6935201402188464, -0.4702079976737973, 1.9340753473305679, 439.2036617621504, 428.8792072899906, 2046689.0638116207, 1998577.1059713562, 1.5888283036206774E-5, 146.4089804398796, 1.0157113152463305E-5, 1.6858963797613795E-4, 2.9340704437802097E-5, 40.755932421592604, 0.588278057845343, -0.009844952517274432, -49.9872, 150.5297, 10491
0.0, 900.0, 3.342960449526074, -0.033445698738409954, 19.246041316632365, 3.668184184014691, 0.0013172007510511153, 1.1046815043563968E-6, 6.132374696000881E15, 0.48936632955729725, 0.10202162824311596, -0.01627313500445607, 0.6948934469481569, -0.8445446565676853, 2.3157116247940834, 443.5804693135615, 432.6456627194258, 2067084.9870011965, 2016128.7882725243, 1.584257378017928E-5, 146.40702088106326, 1.0226228701519831E-5, 1.6935354119276377E-4, 2.938607095307476E-5, 40.7555979979088, 0.5878956727665177, -0.009845098859895374, -49.9872, 150.5298, 10491
0.0, 900.0, 3.5314688977733284, -0.03533368684302478, 19.44094761854183, 3.668908251683638, 0.00139402269449218, 1.1072749989442633E-6, 6.125190241316442E15, 0.4899252896619769, 0.10210271342785067, -0.01623203171103149, 0.6873220407706468, 0.20231617599163948, 1.2765884567449783, 448.16109219687337, 436.5749705012863, 2088430.68963743, 2034439.3625359943, 1.5795428902598317E-5, 146.4049302667986, 1.02984230898881E-5, 1.7014964791938202E-4, 2.9433995757985786E-5, 40.75524471881015, 0.5874917309916574, -0.009845253473022002, -49.9872, 150.5299, 10491
