t, z, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, CCS_rest, V, V_rest, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
3202.477545301649, -32.98466542665673, 358.65939784319227, 10.095737065497286, 152.7203749405979, 3.581236658497949E-6, 5.513863703553264E15, 0.7384415464723836, 0.16166908565504512, 0.045855476645367876, 0.6986790972349389, 0.01408378658905269, 2.0397883250312665, 22731.65434203868, 22731.65434203868, 1.0592950923390025E8, 9.25853117462247E7, 1.0720439777378895E-5, 127.76973224921602, 3.500446084364569E-4, 0.0017796164039661111, 8.816298483758302E-4, 37.121433305893916, -4.86755444001258, -0.005694476241319395, -50.027, 151.7777, 10467
3332.420537632294, -33.89891576134715, 365.9713823900372, 10.271295700208977, 179.45106428310874, 3.6108046327779787E-6, 5.488893151411074E15, 0.7398227754529452, 0.16220006654086105, 0.046675313911398064, 0.6977478847172475, 0.05646175327492846, 2.037428295347115, 23591.87332988311, 23591.87332988311, 1.099381297172553E8, 9.563790469437675E7, 1.0587384014027077E-5, 126.90303066270087, 3.588424152106174E-4, 0.0018090635741716335, 9.189001618741657E-4, 36.94553942280119, -5.186707287631231, -0.005226656197837048, -50.0327, 151.8453, 10466
3469.697599342555, -34.80026305619597, 373.5700383890569, 10.453560807657686, 209.73543721309238, 3.6406014727689164E-6, 5.463127697600063E15, 0.741197242148343, 0.1627325811906412, 0.04750155196970007, 0.6969927016386622, 0.09310534527300504, 2.0351143529073132, 24500.733440657954, 24500.733440657954, 1.1417341783346607E8, 9.883904454467298E7, 1.0448376324564901E-5, 125.99997891150704, 3.678678861658142E-4, 0.0018389833380948837, 9.577430779817941E-4, 36.76189077082349, -5.51906276983436, -0.00472685476711215, -50.0391, 151.9164, 10465
3614.7226702124876, -35.67933918053629, 381.4686285140693, 10.642722948884844, 244.0271518096817, 3.670557850632417E-6, 5.436547416368983E15, 0.7425617405405779, 0.16326537953850548, 0.04833224811921619, 0.6964135070776067, 0.1284853592170293, 2.0267512570897015, 25461.039321131077, 25461.039321131077, 1.1864844323647082E8, 1.0219484652841368E8, 1.0303098810243998E-5, 125.05256835240867, 3.7709894248057305E-4, 0.0018693116141218907, 9.98194406958567E-4, 36.57059620244429, -5.866666750885792, -0.004192174220191225, -50.0463, 151.9911, 10464
3767.9330530601333, -36.49147025570004, 389.6398570385608, 10.838976110970016, 277.64612717548135, 3.700588317789518E-6, 5.40911973804274E15, 0.7439125050575497, 0.16379695076748602, 0.04916501237682144, 0.6983738793952466, -0.12850237241691212, 2.302216127815893, 26474.883167758868, 26474.883167758868, 1.2337295556175633E8, 1.0570978565082219E8, 1.017802222667996E-5, 126.69982615547352, 3.8652225455477834E-4, 0.0018999677568104845, 0.0010105927391808258, 36.45059887493288, -6.172125009639037, -0.0034007333508061875, -50.0544, 152.0697, 10464
3929.7907323670065, -37.20699167211015, 398.11178516526684, 11.042517827558322, 313.66318452949935, 3.733836169657741E-6, 5.380899329714597E15, 0.7453883954740803, 0.16438254731835336, 0.05008698825585192, 0.6975102696311386, -2.3417362530116326E-4, 2.183589062054676, 27545.856738105398, 27545.856738105398, 1.2836369239957115E8, 1.0939170074729577E8, 1.0077828339896843E-5, 128.81568562982957, 3.9713356622941154E-4, 0.0019342109426760807, 0.0010190765376944073, 36.33576017122499, -6.483539065358916, -0.0024864209788286523, -50.0634, 152.1524, 10463
4100.783767327686, -37.79400074844098, 406.8989762499158, 11.253549310394101, 352.92930428980685, 3.7710635945201143E-6, 5.35182392973383E15, 0.7470170193541131, 0.16503464849432675, 0.051119277015951925, 0.6970397371985686, 0.10282868368438047, 2.077583435870829, 28677.310425048963, 28677.310425048963, 1.3363626658072817E8, 1.1324732967203414E8, 1.0003913427222742E-5, 131.08164001824395, 4.0923704688295505E-4, 0.0019729301242979256, 0.0010272231554319727, 36.21586666416503, -6.80857313281496, -0.0014599689444413334, -50.0734, 152.2396, 10462
4281.427763524058, -38.213302423616284, 416.01307917151763, 11.472275591668616, 395.84094131983716, 3.8126378650508344E-6, 5.321857969675849E15, 0.7488066257335034, 0.16575849426836708, 0.052272005666643334, 0.699094285638402, -0.06460359670010705, 2.2253815193379305, 29872.681315036665, 29872.681315036665, 1.3920669492807087E8, 1.172832236565879E8, 9.957764877419373E-6, 133.513058119595, 4.2303491967752384E-4, 0.0020166403025141146, 0.001034826252341517, 36.09082801599709, -7.1474263759389265, -3.044780037432145E-4, -50.0844, 152.3313, 10462
4472.267427661831, -38.416788786608485, 425.46761015618296, 11.69890567693465, 442.93973709920317, 3.858940956831339E-6, 5.290971421625569E15, 0.7507644669044274, 0.16655932213813807, 0.0535556765103892, 0.7000270468369221, -0.038538395164660066, 2.1598906119019143, 31135.599052387173, 31135.599052387173, 1.4509189158412424E8, 1.215058934401615E8, 9.940960628636113E-6, 136.12744612493444, 4.3875627136635614E-4, 0.0020659051500571423, 0.00104162920183421, 35.96057731918824, -7.5002280529687715, 9.996517456290427E-4, -50.0967, 152.428, 10462
4673.87821005743, -38.345453797150654, 435.2789971323682, 11.933652708294638, 494.983294931494, 3.910371052401594E-6, 5.259129248871871E15, 0.7528966861087943, 0.16744236127934684, 0.054981196885148964, 0.7014051102527155, -0.003772843690726458, 2.0654528988535477, 32469.894037591308, 32469.894037591308, 1.513097062151755E8, 1.2592168738868183E8, 9.955180013708022E-6, 138.94471021672967, 4.566618186348515E-4, 0.0021213443937813945, 0.0010473153914774811, 35.82507686771615, -7.867021842402041, 0.002475164137341415, -50.1103, 152.5298, 10462
