angle, time_diff, t, z, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
45.0, 900.0, 0.0, 0.0, 15.384787559509277, 3.6509575843811035, 0.0, 1.049793033786834E-6, 6.28E15, 0.4772129549087957, 0.1003190526092572, -0.017109351818909116, 0.6978848670957184, -0.43874937835461736, 1.7877015285861608, 352.9215350355194, 1.6969325183810817E-5, 146.5066210196693, 8.776472099442486E-6, 1.5294337934055246E-4, 2.700288516688968E-5, 40.77052181462817, 0.6028902323080487, -0.009822524127634782, -49.9868, 150.5252, 10491
45.0, 900.0, 1.0, -0.009976321631173079, 16.634052069809737, 3.654821260939263, 3.637085254586744E-4, 1.049793033786834E-6, 5.626445505857314E15, 0.4772129549087957, 0.1003190526092572, -0.017109351818909116, 0.6978848670957184, -0.43874937835461736, 1.7877015285861608, 381.9830284763506, 1.6510524172760687E-5, 146.49563848312778, 8.776479114439285E-6, 1.5294332711276182E-4, 2.7257141462288068E-5, 40.76864713962075, 0.6007463859644533, -0.009823378251832526, -49.9867, 150.5258, 10491
45.0, 900.0, 1.0564406686968904, -0.010539695365310619, 16.701775804092794, 3.6550392076644402, 3.8446172332454523E-4, 1.0680487735641792E-6, 5.62642485792404E15, 0.48132499277630203, 0.10088194385614357, -0.016838547631146478, 0.6965258451583716, -0.4180028461960136, 1.7978880500980257, 383.56110224689854, 1.648759980952482E-5, 146.4950040765522, 9.242351619034205E-6, 1.5830889102186612E-4, 2.7271491987082154E-5, 40.7685413362162, 0.6006253958268521, -0.009823389530121492, -49.9867, 150.5259, 10491
45.0, 900.0, 1.1160668864767327, -0.01113488641966979, 16.773024882908647, 3.6552694413324955, 4.0641241691577576E-4, 1.0690223240365149E-6, 5.626444365399842E15, 0.4815422927925953, 0.10091207058012484, -0.016823896529268537, 0.6978459189488253, -0.8426744351859771, 2.2245019819035208, 385.22162177808354, 1.6463680261112822E-5, 146.49435689205308, 9.267649543175051E-6, 1.5859762678401717E-4, 2.7286652473216267E-5, 40.768429561459826, 0.6004975775166779, -0.009823438405700761, -49.9867, 150.5259, 10491
45.0, 900.0, 1.1790584478599357, -0.011763692827960356, 16.847968013367474, 3.655512653791278, 4.296312363489022E-4, 1.0700448195818424E-6, 5.626464793444054E15, 0.48177030279975197, 0.10094372284759928, -0.0168084862971129, 0.6926882962838082, 0.19373057504425326, 1.1901677355301126, 386.96856701759094, 1.643873598292738E-5, 146.49365138199985, 9.294267261585607E-6, 1.5890115272098042E-4, 2.7302668637666756E-5, 40.768311478354896, 0.6003625457156789, -0.009823490042276414, -49.9867, 150.5259, 10491
45.0, 900.0, 1.2456052950898682, -0.012428014349362068, 16.926780558342312, 3.655769575747704, 4.541931521480461E-4, 1.0711183985418392E-6, 5.62648617563852E15, 0.48200946767283226, 0.10097696834949581, -0.01679228136347656, 0.6939522538127606, 0.0359099959128286, 1.3501962527449194, 388.8060790116285, 1.6412739910614747E-5, 146.4929290806713, 9.322271405094323E-6, 1.5922016461532556E-4, 2.7319588776157417E-5, 40.76818673088824, 0.6002198933662637, -0.0098235445951689, -49.9867, 150.526, 10491
45.0, 900.0, 1.3159080908771277, -0.01312985823923672, 17.009644673054822, 3.6560409789391177, 4.801777614964726E-4, 1.0722453066697806E-6, 5.626508545722186E15, 0.48226025274834144, 0.10101187824036927, -0.01677524417555297, 0.6939676026864423, -0.006399236915200651, 1.3948600166995218, 390.7384637379502, 1.638566426079764E-5, 146.49216601203346, 9.351727095513003E-6, 1.595553673041957E-4, 2.7337463910697745E-5, 40.768054942956695, 0.6000691904447129, -0.009823602229990704, -49.9867, 150.526, 10491
45.0, 900.0, 1.390178823469881, -0.013871345342382092, 17.09674943401008, 3.6563276784246765, 5.07669595522701E-4, 1.0734278237532687E-6, 5.626531937455327E15, 0.4825231271744897, 0.10104852487396142, -0.016757336275411913, 0.6946893892816183, -0.14357536039103258, 1.534547229680033, 392.7701958242495, 1.635748223713026E-5, 146.49133807756817, 9.38270124190568E-6, 1.59907480801751E-4, 2.735634794328929E-5, 40.76791571723422, 0.5999099826665781, -0.009823663120598803, -49.9867, 150.526, 10491
45.0, 900.0, 1.4686414458747774, -0.01465471653551582, 17.188290959481463, 3.656630535003255, 5.367584490758334E-4, 1.074668296008228E-6, 5.626556384466859E15, 0.48279857082251465, 0.1010869828131566, -0.01673851777984023, 0.6870031487688498, 0.574905515629868, 0.8187446099642331, 394.90592213889516, 1.6328169488810143E-5, 146.49048644172504, 9.41526869331933E-6, 1.6027727819945326E-4, 2.7376297818735642E-5, 40.76776863397427, 0.5997417901183257, -0.009823727450717745, -49.9867, 150.5261, 10491
45.0, 900.0, 1.5515325511559177, -0.015482339539654513, 17.28447252077945, 3.656950457764683, 5.675397354372988E-4, 1.0759691631152598E-6, 5.626581920083606E15, 0.48308707994423, 0.10112732967574332, -0.016718746934862985, 0.6827596084359958, 0.7304487100069973, 0.6660581817881989, 397.1504652421715, 1.6297701054895776E-5, 146.48956494149357, 9.449500882546157E-6, 1.6066552940625423E-4, 2.739737369521485E-5, 40.76761324974504, 0.5995641058119325, -0.009823795415592633, -49.9867, 150.5261, 10491
45.0, 900.0, 1.6391020858481498, -0.016356716113403953, 17.38550464358493, 3.657288406781483, 6.001148674570345E-4, 1.077332885861884E-6, 5.626608577140331E15, 0.4833891507615607, 0.10116964389721313, -0.016697981178483742, 0.6971891889123071, -0.8163326070350237, 2.215886726533973, 399.50882668773795, 1.6266055280546216E-5, 146.48861445867024, 9.485477943776048E-6, 1.6107305425789743E-4, 2.7419639127624112E-5, 40.76744909609328, 0.5993763941584365, -0.009823867220033646, -49.9867, 150.5262, 10491
45.0, 900.0, 1.731614103635887, -0.017280489664505985, 17.491605198689022, 3.657645395948633, 6.345916679821131E-4, 1.0787620261249105E-6, 5.62663638776934E15, 0.4837052968364143, 0.10121400721721072, -0.01667617588765591, 0.686744962931635, 0.5475319060550694, 0.8552726687041101, 401.9861901659454, 1.6233210293323684E-5, 146.4875885327229, 9.52327694237574E-6, 1.6150067256446088E-4, 2.7443161256987406E-5, 40.76727567813274, 0.5991780893551044, -0.009823943081956247, -49.9867, 150.5262, 10491
45.0, 900.0, 1.8293475615700627, -0.018256453286230375, 17.602999481558058, 3.6580224959792713, 6.710848115777961E-4, 1.0802591629869039E-6, 5.626665383168482E15, 0.4840360301051411, 0.10126050208165145, -0.01665328561663469, 0.695063435583266, -0.31918907996080886, 1.725460759402091, 404.58792448296197, 1.6199147488521998E-5, 146.48650593313863, 9.562982023503176E-6, 1.6194924477121818E-4, 2.746801101512617E-5, 40.767092473053204, 0.5989685936821054, -0.009824023230130563, -49.9867, 150.5263, 10491
45.0, 900.0, 1.9325971612241029, -0.019287558260087514, 17.719920280234923, 3.658420837564641, 7.097163008797407E-4, 1.081826962809906E-6, 5.626695593346352E15, 0.4843818759844062, 0.10130921382150944, -0.016629262987945745, 0.6735718577076611, 0.908268360457214, 0.5017013360668775, 407.3195863723818, 1.6163850181375646E-5, 146.48538525788672, 9.60468114858569E-6, 1.6241966567343173E-4, 2.7494263335960403E-5, 40.76689892854509, 0.5987472757027441, -0.009824107907431705, -49.9867, 150.5264, 10491
45.0, 900.0, 2.041674237325303, -0.02037692304002438, 17.842607931196355, 3.6588416147069904, 7.506159798543093E-4, 1.083468142479397E-6, 5.626727046843522E15, 0.4847433648104431, 0.10136022951499996, -0.016604059209935948, 0.6958883746443033, -0.5890314700494667, 2.002945142238588, 410.1869231391244, 1.6127302589620633E-5, 146.4841795341707, 9.648459887656473E-6, 1.6291282576283019E-4, 2.7521997385219228E-5, 40.766694461135586, 0.5985134683627873, -0.009824197370489004, -49.9867, 150.5264, 10491
45.0, 900.0, 2.1569076965411567, -0.021527842744829002, 17.971310362909577, 3.659286088234581, 7.93922088156792E-4, 1.0851854390046176E-6, 5.626759770428657E15, 0.48512102472587265, 0.10141363704308315, -0.016577624501892693, 0.684373577433285, 0.5957019868527306, 0.8224173943160517, 413.19587513896965, 1.6089492771419658E-5, 146.48290698885953, 9.694411376716785E-6, 1.6342965908365276E-4, 2.755129679560336E-5, 40.76647845443105, 0.5982664669829258, -0.009824291889377055, -49.9867, 150.5265, 10491
45.0, 900.0, 2.278645009251409, -0.02274379920068306, 18.106283126970755, 3.6597555895083844, 8.397818595546451E-4, 1.0869816672480216E-6, 5.626793788768387E15, 0.4855153939471387, 0.1014695268835178, -0.016549907162776642, 0.6960710579386943, -0.7402819244204841, 2.1628854060890346, 416.35257810101666, 1.6050411269625144E-5, 146.48158564659678, 9.742632701991057E-6, 1.6397113321444648E-4, 2.7582249920946217E-5, 40.766250257260076, 0.5980055271376297, -0.009824391750630075, -49.9867, 150.5266, 10491
45.0, 900.0, 2.4072532572963903, -0.02402847155297724, 18.24778941686064, 3.66025152433054, 8.883521691103314E-4, 1.0888596818010423E-6, 5.62682912406984E15, 0.4859270118956274, 0.10152799092384726, -0.016520854109812966, 0.6815736359306593, 0.6794323161426579, 0.747951119655647, 419.663365304677, 1.6010050122671663E-5, 146.48016793059193, 9.793218586610425E-6, 1.645382099620222E-4, 2.761495010242507E-5, 40.76600918171171, 0.5977298624147216, -0.009824497257026301, -49.9867, 150.5266, 10491
45.0, 900.0, 2.543120240860966, -0.025385747479056125, 18.396100074518344, 3.6607753770650895, 9.398002326355333E-4, 1.0908223461984951E-6, 5.626865795694787E15, 0.486356411998363, 0.10158912149760857, -0.016490411310204484, 0.6872939702359175, 0.39032920974280055, 1.0421482227879184, 423.134769627484, 1.596840574161597E-5, 146.4786714279398, 9.846271497385361E-6, 1.6513189366223525E-4, 2.764949594964135E-5, 40.765754501063846, 0.5974386420495605, -0.009824608727423339, -49.9867, 150.5267, 10491
