t, z, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
16.212308847778313, -0.15529208379305018, 29.75204503058279, 3.7746856812339873, -0.044641669205655335, 1.3105450959821298E-6, 0.0, 0.5299177501265891, 0.10848401546638539, -0.012628071306413913, 0.6750554002428292, -0.4127180039382345, 2.5542416463764, 705.6306722869263, 1.6801750409832072E-5, 156.63504035551048, 1.710514115662571E-5, 2.386085223905325E-4, -1.9632996386131744E-4, 42.46155469756426, 2.5731160584458, -0.009371791567095507, -49.9996, 150.0096, 10500
17.104528854741343, -0.16386929159775104, 30.345889334469643, 3.777936339386576, -0.0470860997165959, 1.318155873455617E-6, 0.0, 0.5312819488175574, 0.10872076356139498, -0.01248020945464634, 0.6512032465794075, 0.7215644787212564, 1.4320342082402737, 720.3347013361011, 1.6752663302640944E-5, 156.6249350960823, 1.7404891695859632E-5, 2.4138785984949808E-4, -1.9610681393495048E-4, 42.45981791643556, 2.5710535700656116, -0.009371944810671239, -49.9996, 150.0101, 10500
18.045850846393876, -0.17292138280526415, 30.960069389732183, 3.781362863267722, -0.04966354965437608, 1.3259551720324525E-6, 0.0, 0.5326708846174508, 0.1089630425165586, -0.01232783637205781, 0.6520271078880379, 0.6979418568546639, 1.466265535104216, 735.580333391728, 1.670378700920756E-5, 156.61425738465826, 1.7715677411636902E-5, 2.442527253331603E-4, -1.9587137745694422E-4, 42.457985625208124, 2.5688777584031186, -0.009372107253245915, -49.9995, 150.0107, 10500
19.038977076531648, -0.18247474521019216, 31.59510983036564, 3.7849745979431906, -0.052381150258645384, 1.333944601135447E-6, 0.0, 0.5340842700449395, 0.10921086503501905, -0.012170869958454747, 0.6716026730822199, -0.17501215849728163, 2.3482005348984516, 751.3852496944455, 1.6655154815475654E-5, 156.60300035874744, 1.803785449129677E-5, 2.4720495470542577E-4, -1.956229776004752E-4, 42.4560525756444, 2.566582407364441, -0.009372279487014107, -49.9995, 150.0113, 10500
20.08675851341933, -0.1925572407132474, 32.25154638409683, 3.7887813666079246, -0.055246400514883026, 1.3421257920050566E-6, 0.0, 0.5355218098537482, 0.10946424245798887, -0.01200922698912775, 0.6702369063484738, -0.08248869460677169, 2.2628696628856475, 767.7678312812176, 1.6606797581552916E-5, 156.591132205519, 1.8371789736261847E-5, 2.5024642237553063E-4, -1.9536090021716004E-4, 42.454013231582394, 2.5641609610577616, -0.00937246214720746, -49.9995, 150.0119, 10500
21.1922030240674, -0.20319828832086412, 32.929926335248524, 3.7927934930677245, -0.05826718401954587, 1.3505003795723347E-6, 0.0, 0.5369831980169799, 0.10972318418123685, -0.011842823508552341, 0.6715934270011567, -0.17255181656338622, 2.358179047357461, 784.7472049164837, 1.655874414239404E-5, 156.57859607999245, 1.871785999944699E-5, 2.5337903474682947E-4, -1.9508439177623758E-4, 42.45186175319241, 2.5616065053503965, -0.009372655914429586, -49.9995, 150.0126, 10500
22.358484008918392, -0.21442895188403543, 33.63080900457204, 3.7970218250672754, -0.061451786297649615, 1.359070024200905E-6, 0.0, 0.5384681217366117, 0.10998769831050528, -0.011671574438358298, 0.6690588406117712, -0.0017763342136528394, 2.190550595581666, 802.3432921277666, 1.6511021807839095E-5, 156.56537988106905, 1.907646384222154E-5, 2.5660478306665146E-4, -1.9479265718574666E-4, 42.449591980378415, 2.558911748439076, -0.00937286151838012, -49.9994, 150.0132, 10500
23.588949511730082, -0.2262820329131572, 34.3547662452674, 3.801477758473674, -0.06480891251159146, 1.3678364366886129E-6, 0.0, 0.5399762658600311, 0.11025779241396336, -0.011495393105744614, 0.6702427183039001, -0.07192880752303775, 2.2616054951098628, 820.5768615243102, 1.646365529127808E-5, 156.55142299156287, 1.9448009373744572E-5, 2.5992569567600307E-4, -1.9448485749657408E-4, 42.4471974152792, 2.556069000383461, -0.009373079743001196, -49.9994, 150.014, 10500
24.887131830807387, -0.2387921686249192, 35.102382954447826, 3.8061732623219684, -0.06834770551280846, 1.376801360140146E-6, 0.0, 0.5415073097747308, 0.11053347294397002, -0.011314191629535758, 0.6774396646063785, -0.6469550433670109, 2.835154399213702, 839.4695845908869, 1.641666771224851E-5, 156.53673260756025, 1.9832931793197304E-5, 2.6334390706475293E-4, -1.9416010747872294E-4, 42.44467120382013, 2.5530701515481553, -0.009373311429472309, -49.9994, 150.0147, 10500
26.256757659173942, -0.2519959357237744, 35.87425759935238, 3.8111209047261645, -0.07207776415260442, 1.3859666083876333E-6, 0.0, 0.5430609339920565, 0.11081474640160581, -0.011127880166494533, 0.6686130541626774, 0.05703067415118197, 2.127189547144006, 859.0440951633374, 1.6370079056890436E-5, 156.52119734939092, 2.0231666739805923E-5, 2.668615531713015E-4, -1.9381747306091826E-4, 42.44200611626625, 2.5499066498986425, -0.009373557482859299, -49.9993, 150.0156, 10500
