angle, time_diff, t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, CCS_esti, V_inter, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
20.0, 900.0, 1.0, -0.009976321631173079, 0.061339204406533815, 20.0, 0.014110167174222575, 16.634052069807403, 3.6518596798415026, 3.61987368932746E-4, 1.257924673933552E-6, 1.8244807858274828E15, 0.5202399513421857, 0.10683941886948096, -0.013627096549106404, 0.6730463087184888, -0.08533059789491618, 2.100897951385556, 371.5346537397189, 371.5346537397189, 455227.2689247987, 3.0643109592639954E-5, 146.63389800114257, 1.5117576553282323E-5, 2.1967947760289562E-4, 2.7172212319406546E-5, 40.769411696220516, 0.6018956595417051, -0.009823432413654356, -49.9868, 150.5256, 10491
20.0, 900.0, 1.0564406686968904, -0.01054382110071322, 0.061339204406533815, 20.0, 0.014110167174222575, 16.7017758040902, 3.6520777505132007, 3.826430149444416E-4, 1.2908124556350358E-6, 1.6885491877903078E15, 0.5263395010863646, 0.10786878402353116, -0.013007548232655652, 0.655895087484595, 0.605382501348199, 1.497206198108005, 373.0271750365842, 373.0271750365842, 457070.21755315637, 3.052050275896029E-5, 146.6332628883985, 1.6334568918676776E-5, 2.3131643225835063E-4, 2.7186562588464594E-5, 40.76930588949302, 0.6017746661140908, -0.009823480611895336, -49.9868, 150.5256, 10491
20.0, 900.0, 1.1160668864767327, -0.011143352741850488, 0.061339204406533815, 20.0, 0.014110167174222575, 16.773024882905762, 3.6523081150958827, 4.0449060336002283E-4, 1.2907755756731631E-6, 1.6887464351198825E15, 0.5263327569948199, 0.10786763236059978, -0.013008252131033654, 0.6687714172238917, 0.06679661527856595, 2.0357093922311904, 374.59730822309865, 374.59730822309865, 459009.186207532, 3.0392575373474624E-5, 146.63261497667338, 1.6333170720224833E-5, 2.313032145065453E-4, 2.7201722803540093E-5, 40.76919411122655, 0.6016468443038252, -0.009823529432281715, -49.9868, 150.5257, 10491
20.0, 900.0, 1.1790584478599357, -0.011776724723379303, 0.061339204406533815, 20.0, 0.014110167174222575, 16.847968013364266, 3.652551465827498, 4.276004453766539E-4, 1.2907368017843372E-6, 1.6889541340750298E15, 0.5263256663395433, 0.10786642154840904, -0.013008992155561963, 0.6565332832050134, 0.5856932632033142, 1.5167257671632024, 376.2487598141716, 376.2487598141716, 461048.7818944304, 3.025917462291237E-5, 146.63193049655587, 1.6331700814303708E-5, 2.3128931837992244E-4, 2.721773868360434E-5, 40.76907602441404, 0.601511808778278, -0.009823581010611556, -49.9868, 150.5257, 10491
20.0, 900.0, 1.2456052950898682, -0.012445847297163037, 0.061339204406533815, 20.0, 0.014110167174222575, 16.926780558338745, 3.6528085338267138, 4.520471738975659E-4, 1.2906960379170223E-6, 1.689172805315134E15, 0.5263182115201168, 0.10786514858643614, -0.013009770136096083, 0.6776726040756127, -0.6013141955824723, 2.70364174219882, 377.98538192043833, 377.98538192043833, 463193.7951205288, 3.0120150883915266E-5, 146.6311855687702, 1.633015254838658E-5, 2.3127469611479868E-4, 2.7234658520947354E-5, 40.76895127303113, 0.6013691524641214, -0.009823635502408657, -49.9868, 150.5257, 10491
20.0, 900.0, 1.3159080908771277, -0.01315273856316243, 0.061339204406533815, 20.0, 0.014110167174222575, 17.009644673050854, 3.6530800912654535, 4.7791002877862896E-4, 1.2906531846364773E-6, 1.6894029923573738E15, 0.5263103743131317, 0.10786381036837914, -0.01301058796665408, 0.6734247015666469, -0.23634625890538405, 2.338577585443076, 379.8111751982083, 379.8111751982083, 465449.20393735403, 2.997536007047864E-5, 146.6304216437226, 1.632852822037852E-5, 2.3125933895150777E-4, 2.7252533336729638E-5, 40.768819480962996, 0.601218445320816, -0.00982369307202356, -49.9868, 150.5258, 10491
20.0, 900.0, 1.390178823469881, -0.013899530563897028, 0.061339204406533815, 20.0, 0.014110167174222575, 17.096749434005673, 3.653366953661524, 5.052731628112211E-4, 1.2906081606550103E-6, 1.689645262327034E15, 0.5263021398095387, 0.10786240435449566, -0.013011447194504727, 0.6560294001708409, 0.6020989821306479, 1.5000311982762946, 381.7302916340103, 381.7302916340103, 467820.17782100965, 2.982466100690137E-5, 146.62959278736636, 1.632681871686305E-5, 2.3124319103103196E-4, 2.7271417033058555E-5, 40.76868025087125, 0.6010592330458127, -0.009823753894216148, -49.9868, 150.5258, 10491
20.0, 900.0, 1.4686414458747774, -0.014688475715194788, 0.061339204406533815, 20.0, 0.014110167174222575, 17.188290959476568, 3.6536699822978274, 5.34225970345419E-4, 1.2905608525979918E-6, 1.689900206716298E15, 0.5262934872270694, 0.10786092700288408, -0.01301234997880206, 0.6603619897150163, 0.4535489706016426, 1.648474875011713, 383.7470371477372, 383.7470371477372, 470312.08137064107, 2.9667920379713316E-5, 146.6287401965813, 1.632502580971818E-5, 2.312262386113902E-4, 2.7291366554113424E-5, 40.768533162996334, 0.600891035705978, -0.00982381815216247, -49.9868, 150.5259, 10491
20.0, 900.0, 1.5515325511559177, -0.015521953610163688, 0.061339204406533815, 20.0, 0.014110167174222575, 17.284472520774006, 3.65399008677497, 5.648634404287757E-4, 1.2905111725357033E-6, 1.6901684421513545E15, 0.5262844004318699, 0.10785937556608094, -0.013013297992617065, 0.6745850320951688, -0.32678970777957284, 2.4287018236083067, 385.8658739993976, 385.8658739993976, 472930.47781084076, 2.9505009688358574E-5, 146.62781767045723, 1.6323140139236654E-5, 2.3120842347495847E-4, 2.7312442055213268E-5, 40.76837777389265, 0.6007133462922454, -0.00982388604089931, -49.9868, 150.5259, 10491
20.0, 900.0, 1.6391020858481498, -0.01640247819751282, 0.061339204406533815, 20.0, 0.014110167174222575, 17.385504643578884, 3.654328227704444, 5.972865367784597E-4, 1.2904590001242673E-6, 1.6904506111678285E15, 0.5262748573556384, 0.10785774628420358, -0.013014293527019272, 0.6740465838870822, -0.2802142752526602, 2.382008986124301, 388.0914229858479, 388.0914229858479, 475681.13228515675, 2.933581026647512E-5, 146.62686612292302, 1.6321163216547884E-5, 2.3118972939865744E-4, 2.7334707091348607E-5, 40.768213615092364, 0.6005256291927981, -0.009823957765032847, -49.9868, 150.5259, 10491
20.0, 900.0, 1.731614103635887, -0.017332705376573238, 0.061339204406533815, 20.0, 0.014110167174222575, 17.491605198682315, 3.654685419549913, 6.316026063800443E-4, 1.2904042407199711E-6, 1.6907473829947828E15, 0.5262648406245782, 0.107856036199761, -0.013015338382067518, 0.6779732892316724, -0.6300022097133732, 2.731673617032239, 390.4284654155938, 390.4284654155938, 478570.01493030327, 2.9160210291432046E-5, 146.625839055234, 1.6319085433879427E-5, 2.311700957843595E-4, 2.7358228800709124E-5, 40.768040191693906, 0.6003273185804225, -0.0098240335422491, -49.9868, 150.526, 10491
20.0, 900.0, 1.8293475615700627, -0.018315441010262754, 0.061339204406533815, 20.0, 0.014110167174222575, 17.602999481550604, 3.6550627336245074, 6.679258199074813E-4, 1.2903467669413882E-6, 1.6910594543478095E15, 0.526254326869688, 0.10785424133269143, -0.013016434981843794, 0.6701620134177542, -0.010685489103220145, 2.112227396006363, 392.8819448518513, 392.8819448518513, 481603.3037235853, 2.897810934762104E-5, 146.6247552511277, 1.6316905016706454E-5, 2.311494905114646E-4, 2.7383078117063425E-5, 40.76785698087075, 0.6001178167085626, -0.009824113601092397, -49.9868, 150.5261, 10491
20.0, 900.0, 1.9325971612241029, -0.019353649401620477, 0.061339204406533815, 20.0, 0.014110167174222575, 17.71992028022665, 3.6554613012524477, 7.063776458110547E-4, 1.2902864699977905E-6, 1.6913875502320532E15, 0.5262432961151187, 0.10785235828327724, -0.013017585394991107, 0.6672363978902933, 0.1555030198318519, 1.945902932131393, 395.4569686165437, 395.4569686165437, 484787.3870994807, 2.8789417969929492E-5, 146.6236333226515, 1.631462089757546E-5, 2.3112788812906318E-4, 2.740932996996829E-5, 40.76766343029634, 0.5998964921120677, -0.009824198184189517, -49.9868, 150.5261, 10491
20.0, 900.0, 2.041674237325303, -0.020450462245454343, 0.061339204406533815, 20.0, 0.014110167174222575, 17.842607931187175, 3.655882317103706, 7.470873622838353E-4, 1.2902232378050566E-6, 1.6917324247563568E15, 0.5262317277747309, 0.10785038354871515, -0.013018791752247183, 0.670935285614955, -0.06380431847276007, 2.1650675945827604, 398.15880905080314, 398.15880905080314, 488128.86633526586, 2.859405719686154E-5, 146.62242625825823, 1.6312222819113555E-5, 2.3110522183642345E-4, 2.743706352509327E-5, 40.767458956479835, 0.5996626777057603, -0.00982428754790931, -49.9868, 150.5262, 10491
20.0, 900.0, 2.1569076965411567, -0.021609188080654172, 0.061339204406533815, 20.0, 0.014110167174222575, 17.97131036289939, 3.6563270427108625, 7.901926092642084E-4, 1.2901569324495687E-6, 1.692094861960139E15, 0.5262195965281047, 0.10784831281928603, -0.013020056676297506, 0.658092908543762, 0.5351469477586706, 1.5659666054503425, 400.99290453081767, 400.99290453081767, 491634.55771002936, 2.8391962626377796E-5, 146.62115229850465, 1.630970861688782E-5, 2.310814557800043E-4, 2.7466362414855942E-5, 40.767242943008426, 0.5994156687767047, -0.009824381962064418, -49.9868, 150.5262, 10491
20.0, 900.0, 2.278645009251409, -0.02283332228796751, 0.061339204406533815, 20.0, 0.014110167174222575, 18.106283126959454, 3.6567968101777444, 8.358399847944939E-4, 1.2900874350753438E-6, 1.69247567665508E15, 0.5262068805318937, 0.10784614238015304, -0.013021382425337139, 0.6613508525553964, 0.41801073035589736, 1.6829457681827655, 403.9648602415292, 403.9648602415292, 495311.4944463805, 2.8183083924860735E-5, 146.6198294815143, 1.630707685165101E-5, 2.3105656094517946E-4, 2.749731498925421E-5, 40.76701473869062, 0.59915472086319, -0.009824481712902773, -49.9868, 150.5263, 10491
20.0, 900.0, 2.4072532572963903, -0.024126557648368352, 0.061339204406533815, 20.0, 0.014110167174222575, 18.247789416848107, 3.657293026089915, 8.841856898649267E-4, 1.2900146236522799E-6, 1.6928757152841665E15, 0.5261935573520924, 0.10784386841705372, -0.013022771317172305, 0.6765168214279208, -0.4909135281794619, 2.591705346736666, 407.08044871471117, 407.08044871471117, 499166.92844960815, 2.796738431273646E-5, 146.61841019112353, 1.6304316903795765E-5, 2.3103046702632044E-4, 2.7530014588559685E-5, 40.76677365559427, 0.5988790475140009, -0.009824587102903222, -49.9868, 150.5264, 10491
20.0, 900.0, 2.543120240860966, -0.02549279549218842, 0.061339204406533815, 20.0, 0.014110167174222575, 18.39610007450445, 3.657817175637546, 9.353962256500891E-4, 1.2899383499896987E-6, 1.6932958568012178E15, 0.5261795997567276, 0.10784148629837759, -0.013024226167577119, 0.6616054673627831, 0.4102523980271141, 1.6903667606877137, 410.34561014230985, 410.34561014230985, 503208.3318649443, 2.7744844513899818E-5, 146.61691202745118, 1.6301426231293114E-5, 2.3100313453988766E-4, 2.7564559820082075E-5, 40.76651896697479, 0.5985878179219286, -0.009824698450620235, -49.9868, 150.5265, 10491
20.0, 900.0, 2.6866556478317554, -0.02693615749194545, 0.061339204406533815, 20.0, 0.014110167174222575, 18.55149358509495, 3.658370826961721, 9.896491486268812E-4, 1.289858485572086E-6, 1.6937370135745828E15, 0.5261649841020736, 0.10783899200662923, -0.013025749415882498, 0.6708541370083321, -0.054112140171720016, 2.1545503471458693, 413.766452480587, 413.766452480587, 507443.3984798972, 2.7515461621923273E-5, 146.6153305389433, 1.6298400021566556E-5, 2.309745176796055E-4, 2.7601054860050742E-5, 40.766249905086035, 0.5982801544239216, -0.009824816093827854, -49.9868, 150.5265, 10491
20.0, 900.0, 2.8382922891536566, -0.02846099811421001, 0.061339204406533815, 20.0, 0.014110167174222575, 18.71425606053958, 3.658955635735717, 0.0010471338883162266, 1.2897748911153462E-6, 1.6942001323193458E15, 0.5261496847611431, 0.10783638118761882, -0.013027343705615577, 0.6783819055673451, -0.676517212909744, 2.7767658377253195, 417.3492513654972, 417.3492513654972, 511880.04500527517, 2.7279250407194804E-5, 146.61366102280562, 1.6295233059206708E-5, 2.3094456680469437E-4, 2.763960976082335E-5, 40.765965658868446, 0.5979551298609693, -0.009824940389115222, -49.9868, 150.5266, 10491
