angle, time_diff, t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, CCS_rest, V, V_rest, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
25.0, 900.0, 0.0, 0.0, 0.06135526359713373, 20.0, 0.014113583231881104, 15.384787559509277, 3.6509575843811035, 0.0, 1.049793033786834E-6, 5.652E16, 0.4772129549087957, 0.1003190526092572, -0.017109351818909116, 0.6978848670957184, -0.43874937835461736, 1.7877015285861608, 352.9215350355194, 352.9215350355194, 1.4801529179389684E7, 1.4801529179389684E7, 1.6969325183810817E-5, 146.5066210196693, 8.776472099442486E-6, 1.5294337934055246E-4, 2.700288516688968E-5, 40.77052181462817, 0.6028902323080487, -0.009822524127634782, -49.9868, 150.5252, 10491
25.0, 900.0, 1.0, -0.009976321631173079, 0.06135526359713373, 20.0, 0.014113583231881104, 16.634052069809737, 3.654821260939263, 3.637085254586744E-4, 1.049793033786834E-6, 5.5218946831451496E16, 0.4772129549087957, 0.1003190526092572, -0.017109351818909116, 0.6978848670957184, -0.43874937835461736, 1.7877015285861608, 381.9830284763506, 381.9830284763506, 1.6020368214298146E7, 1.5651589891111197E7, 1.6586871586711668E-5, 146.49563848312778, 8.776479114439285E-6, 1.5294332711276182E-4, 2.7257141462288068E-5, 40.76864713962075, 0.6007463859644533, -0.009823378251832526, -49.9867, 150.5258, 10491
25.0, 900.0, 1.0564406686968904, -0.010539722888929922, 0.06135526359713373, 20.0, 0.014113583231881104, 16.701775804092794, 3.6550392076644402, 3.8446172332454523E-4, 1.0696925209861203E-6, 5.5218946831451496E16, 0.48169176727403507, 0.10093281587240999, -0.016813798464630936, 0.69781122732014, -0.8699204505185862, 2.253101735827283, 383.56110224689854, 383.56110224689854, 1.6086552628234925E7, 1.5716279802282773E7, 1.656776188837579E-5, 146.49500407614607, 9.285089792465304E-6, 1.587965467911041E-4, 2.727149198681622E-5, 40.76854133621528, 0.6006253958636938, -0.009823389530121492, -49.9867, 150.5259, 10491
25.0, 900.0, 1.1160668864767327, -0.01113494457017428, 0.06135526359713373, 20.0, 0.014113583231881104, 16.773024882908647, 3.6552694413324955, 4.064124169012995E-4, 1.0707520389884066E-6, 5.5219048788981464E16, 0.48192787969430645, 0.1009656219384701, -0.016797814161971195, 0.6955176836388415, -0.23903418896137207, 1.6243831083161362, 385.22162177808354, 385.22162177808354, 1.6156194817372823E7, 1.578434960959702E7, 1.6547822636547118E-5, 146.49435689119503, 9.312708500408642E-6, 1.5911127484700478E-4, 2.728665247348217E-5, 40.768429561457886, 0.6004975775945152, -0.009823438405598793, -49.9867, 150.5259, 10491
25.0, 900.0, 1.1790584478599357, -0.011763785053523287, 0.06135526359713373, 20.0, 0.014113583231881104, 16.847968013367474, 3.655512653791278, 4.296312363489022E-4, 1.0718646468297202E-6, 5.521915587296032E16, 0.4821755694865145, 0.10100008450845704, -0.016781002312872884, 0.6905606046798829, 0.3701823056639789, 1.0174789208099222, 386.96856701759094, 386.96856701759094, 1.6229461700717764E7, 1.5855962493957475E7, 1.6527029043165736E-5, 146.49365138063894, 9.341768288993063E-6, 1.594420993063544E-4, 2.7302668637666756E-5, 40.76831147835181, 0.6003625458391246, -0.009823490042060973, -49.9867, 150.5259, 10491
25.0, 900.0, 1.2456052950898682, -0.012428144480594039, 0.06135526359713373, 20.0, 0.014113583231881104, 16.926780558342312, 3.655769575747704, 4.541931521480461E-4, 1.073032647659703E-6, 5.5219268308747544E16, 0.48243531179147986, 0.10103627663375057, -0.016763324188150824, 0.6974415820623646, -0.8116901009220869, 2.2018182279875163, 388.8060790116285, 388.8060790116285, 1.63065269537477E7, 1.5931288243682165E7, 1.65053586900104E-5, 146.492929078751, 9.372341670497307E-6, 1.597897737456606E-4, 2.7319588775891587E-5, 40.768186730883876, 0.6002198935404399, -0.0098235445948272, -49.9867, 150.526, 10491
25.0, 900.0, 1.3159080908771277, -0.01313003053067626, 0.06135526359713373, 20.0, 0.014113583231881104, 17.009644673054822, 3.6560409789391177, 4.801777614794042E-4, 1.0742584547871734E-6, 5.521938632836652E16, 0.4827076022015192, 0.10107427493182526, -0.016744738971619072, 0.6901522745598526, 0.3801571517914983, 1.012603128212852, 390.7384637379502, 390.7384637379502, 1.6387571169169633E7, 1.60105034119555E7, 1.648278832178098E-5, 146.49216600949092, 9.404499853583502E-6, 1.6015506239449133E-4, 2.7337463910431953E-5, 40.76805494295093, 0.6000691906753151, -0.009823602229508547, -49.9867, 150.526, 10491
25.0, 900.0, 1.390178823469881, -0.01387156451834166, 0.06135526359713373, 20.0, 0.014113583231881104, 17.09674943401008, 3.6563276784246765, 5.07669595522701E-4, 1.0755445186833413E-6, 5.5219510170376112E16, 0.4829929401794657, 0.10111415733218043, -0.01672520482936947, 0.6839905445620942, 0.6890581177580094, 0.7065108446688805, 392.7701958242495, 392.7701958242495, 1.6472782012869025E7, 1.6093791469604202E7, 1.6459295525762014E-5, 146.49133807433364, 9.438316079234314E-6, 1.6053874648460774E-4, 2.735634794328929E-5, 40.76791571722686, 0.5999099829599266, -0.00982366311996041, -49.9867, 150.526, 10491
25.0, 900.0, 1.4686414458747774, -0.01465498784072558, 0.06135526359713373, 20.0, 0.014113583231881104, 17.188290959481463, 3.656630535003255, 5.367584490758334E-4, 1.076893358993987E-6, 5.5219640079702784E16, 0.483291835827109, 0.1011560040748646, -0.01670467838955912, 0.6931728098866894, 0.040038002837773194, 1.3585281660272204, 394.90592213889516, 394.90592213889516, 1.6562354374505263E7, 1.6181342952663975E7, 1.6434860139935455E-5, 146.49048643772105, 9.473871812127529E-6, 1.6094166223755936E-4, 2.737629781846994E-5, 40.767768633965176, 0.5997417904814304, -0.009823727449905596, -49.9867, 150.5261, 10491
25.0, 900.0, 1.5515325511559177, -0.015482668795179434, 0.06135526359713373, 20.0, 0.014113583231881104, 17.28447252077945, 3.656950457764683, 5.675397354372988E-4, 1.0783075906491878E-6, 5.5219776307430152E16, 0.48360481527638227, 0.10119989852767859, -0.0166831143049177, 0.6933028802069092, -0.008475336117948132, 1.410240039807791, 397.1504652421715, 397.1504652421715, 1.6656490512256673E7, 1.6273355604252309E7, 1.6409461196377673E-5, 146.48956493663414, 9.511245305879563E-6, 1.613646441657968E-4, 2.7397373695480507E-5, 40.767613249734, 0.5995641062525836, -0.0098237954145873, -49.9867, 150.5261, 10491
25.0, 900.0, 1.6391020858481498, -0.016357109778353574, 0.06135526359713373, 20.0, 0.014113583231881104, 17.38550464358493, 3.657288406781483, 6.001148674570345E-4, 1.0797898520614877E-6, 5.5219919110543008E16, 0.4839324043863071, 0.1012459249639437, -0.01666046630568263, 0.6885944878098127, 0.4318305699470674, 0.9733474819561099, 399.50882668773795, 399.50882668773795, 1.6755400191283729E7, 1.6370034510326317E7, 1.6383080775940328E-5, 146.48861445286002, 9.55052382736952E-6, 1.6180857868168687E-4, 2.7419639127358506E-5, 40.767449096080085, 0.5993763946852675, -0.009823867218813512, -49.9867, 150.5262, 10491
