t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, CCS_rest, V, V_rest, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
930.1822430275876, -9.549041313518975, 0.059969630559340174, 20.0, 0.013758373581152459, 193.50453317241087, 6.276761233700639, 0.8526649374135348, 2.712381258569051E-6, 5.5688410591559488E16, 0.688251161394502, 0.1447129433735251, 0.021921818501079465, 0.6904583205930229, 0.1724907192728381, 1.8137693235737506, 7631.441291477083, 7512.663060362178, 3.2006264776454884E8, 3.150810887515897E8, 1.3551844567525725E-5, 146.45246798412123, 1.5173652990253683E-4, 0.00102172528905105, 6.04447979333875E-5, 40.71584383228121, 0.5409747789796455, -0.0098473816883456, -49.9867, 150.5419, 10490
931.873839249943, -9.56743121571462, 0.059969630559340174, 20.0, 0.013758373581152459, 193.67929390045248, 6.280468040714675, 0.8656363132328215, 2.713466322459768E-6, 5.5640304361102536E16, 0.6883281877938263, 0.14473605385751354, 0.021951309497772437, 0.6938523654306915, -0.19044986160324015, 2.1789603828163266, 7642.844397595747, 7517.040914750621, 3.205408940351656E8, 3.1526469596464103E8, 1.3548734474749733E-5, 146.43378842382688, 1.519188866729225E-4, 0.001022542205238683, 6.143528108638461E-5, 40.71267635517017, 0.5373581967125061, -0.009848787931996745, -49.9866, 150.5428, 10490
933.6608240309582, -9.58686231472686, 0.059969630559340174, 20.0, 0.013758373581152459, 193.86373824798855, 6.2843814985120465, 0.8794046720485549, 2.714609465776257E-6, 5.5589664056925808E16, 0.688409289380514, 0.14476039518698458, 0.021982380836383902, 0.6921565702514004, -0.0012725041317395503, 1.9921491518568097, 7654.88971964445, 7521.670655610323, 3.2104607484188825E8, 3.1545886729629695E8, 1.354542552099086E-5, 146.41407035911092, 1.5211118220749182E-4, 0.0010234032385332758, 6.257467481546696E-5, 40.70933050014078, 0.5335381824926468, -0.00985027511968103, -49.9866, 150.5439, 10490
935.5485763003111, -9.607393809363444, 0.059969630559340174, 20.0, 0.013758373581152459, 194.05839297805906, 6.288512989629692, 0.8940226858482913, 2.7158136888636572E-6, 5.5536374921785464E16, 0.6884946713985883, 0.14478603026296988, 0.022015114352847392, 0.6933715333745544, -0.1427501877958829, 2.1361138565029023, 7667.613378328079, 7526.568108052717, 3.2157970508707964E8, 3.1566426645173097E8, 1.354190406450917E-5, 146.39323345232884, 1.5231391965282585E-4, 0.0010243106480251965, 6.377571385228957E-5, 40.705796235741424, 0.5295033232530493, -0.009851848004989042, -49.9866, 150.5449, 10490
937.5427783037675, -9.629088292791819, 0.059969630559340174, 20.0, 0.013758373581152459, 194.26381241489807, 6.292874507970189, 0.909546916677701, 2.717082064839205E-6, 5.548031812212972E16, 0.6885845433145587, 0.14481302341403005, 0.022049593895753866, 0.6910388503114823, 0.10022908585919119, 1.8957477362369144, 7681.053526017732, 7531.750084668544, 3.221433848811837E8, 3.1588159855099875E8, 1.35381560819321E-5, 146.37121584965755, 1.5252764580227872E-4, 0.0010252668139671772, 6.504158397916374E-5, 40.7020629679999, 0.5252415690699967, -0.00985351163028498, -49.9866, 150.5461, 10490
939.6494327070769, -9.652011950633078, 0.059969630559340174, 20.0, 0.013758373581152459, 194.48057976576962, 6.297478689891316, 0.9260381467935017, 2.718417842807833E-6, 5.5421370693945528E16, 0.6886791260381863, 0.1448414425807717, 0.02208590813548636, 0.6937015544821836, -0.19820312041683943, 2.1969246469781196, 7695.250455878528, 7537.234437410647, 3.2273880411954546E8, 3.161116123050025E8, 1.353416708245968E-5, 146.3479739791958, 1.5275296898979566E-4, 0.0010262743166258182, 6.637561896477437E-5, 40.698119509066885, 0.5207401980218225, -0.009855271346605693, -49.9866, 150.5473, 10490
941.8748806643507, -9.676234771021107, 0.059969630559340174, 20.0, 0.013758373581152459, 194.70930849311523, 6.3023388466821135, 0.9435617413000554, 2.7198244504388793E-6, 5.5359405498883792E16, 0.6887786519869342, 0.1448713593552911, 0.022124150638512557, 0.6920925664912301, -0.016369213287386327, 2.0179725712423338, 7710.246721501424, 7543.040116716777, 3.2336774749976975E8, 3.1635510249510163E8, 1.3529920143676524E-5, 146.3233952691756, 1.5299044672808701E-4, 0.0010273357011710436, 6.7781305581991E-5, 40.69395404413353, 0.5159857791542368, -0.009857132833739062, -49.9866, 150.5485, 10490
944.2258209053098, -9.701830766608396, 0.059969630559340174, 20.0, 0.013758373581152459, 194.95064373748664, 6.3074689984654375, 0.9621880462757243, 2.7213053713229273E-6, 5.5294291194071168E16, 0.6888833562896625, 0.14490284635723646, 0.022164416537219817, 0.691116474973746, 0.07542548588429679, 1.9292022803205326, 7726.087263178425, 7549.187233827351, 3.240320998177031E8, 3.166129125867191E8, 1.3525399216362252E-5, 146.2974503352092, 1.532407636125072E-4, 0.0010284538024455643, 6.926228857370913E-5, 40.68955409652998, 0.5109641334536805, -0.009859102120203047, -49.9866, 150.5499, 10490
946.7093298988569, -9.728878211374706, 0.059969630559340174, 20.0, 0.013758373581152459, 195.20526379155953, 6.312883909565686, 0.9819928267431451, 2.7228643754202684E-6, 5.5225892217063896E16, 0.6889934929563287, 0.14493598211741524, 0.02220680880012768, 0.6915200654385435, 0.029171896570105434, 1.9786286136452544, 7742.819541187547, 7555.697126483965, 3.247338515574057E8, 3.168859374847375E8, 1.3520585661490351E-5, 146.2700403720835, 1.5350457242798178E-4, 0.0010296315034586953, 7.082237555216321E-5, 40.68490649090843, 0.505660292730949, -0.009861185608975807, -49.9866, 150.5513, 10490
949.3328831536661, -9.757459890479117, 0.059969630559340174, 20.0, 0.013758373581152459, 195.47388162532573, 6.318599125378406, 1.0030577485930805, 2.7245052963127073E-6, 5.5154068788147896E16, 0.6891093189817735, 0.14497084632251125, 0.02225143218063555, 0.6916381204757375, 0.010991564383229865, 2.000135596122958, 7760.4936764742215, 7562.592428144405, 3.2547510479132885E8, 3.1717512643637633E8, 1.3515460144266738E-5, 146.241083999137, 1.5378257037252353E-4, 0.001030871806288627, 7.246554177454744E-5, 40.67999731440806, 0.500058456305263, -0.009863390099533584, -49.9866, 150.5528, 10490
952.1043777199042, -9.78766336618372, 0.059969630559340174, 20.0, 0.013758373581152459, 195.7572464623358, 6.324631010776331, 1.0254709100583115, 2.7262321675063725E-6, 5.5078676931918712E16, 0.6892311038283081, 0.1450075226929392, 0.022298396928487285, 0.6918994656073106, -0.02461298122498797, 2.039226311100943, 7779.162599137216, 7569.897140849494, 3.262580794078148E8, 3.1748148608722776E8, 1.3510002062784223E-5, 146.21049524436688, 1.540754943178746E-4, 0.0010321778767761966, 7.419593477278315E-5, 40.674811875694786, 0.4941419453810325, -0.00986572281589707, -49.9866, 150.5544, 10490
955.0321559598189, -9.819581259896438, 0.059969630559340174, 20.0, 0.013758373581152459, 196.05614540661568, 6.330996790083586, 1.0493274273113902, 2.728049193668254E-6, 5.4999568520172872E16, 0.689359127221291, 0.14504609834892757, 0.022347818013673776, 0.6916226177050199, -2.345656380734685E-4, 2.0184991254980242, 7798.882205149864, 7577.6367122158235, 3.270851196839853E8, 3.178060837103316E8, 1.3504189471836718E-5, 146.17818328487675, 1.543841165772508E-4, 0.001033553024124496, 7.601787878775432E-5, 40.6693346617641, 0.4878931550021184, -0.009868191434704576, -49.9865, 150.556, 10490
958.1250306587408, -9.853311551597955, 0.059969630559340174, 20.0, 0.013758373581152459, 196.3714051196034, 6.3377145886465724, 1.074730081350166, 2.7299607551071558E-6, 5.4916591340695648E16, 0.6894936792813924, 0.14508666388161068, 0.022399815254683958, 0.6926375871830895, -0.12119734326686742, 2.1432836108370164, 7819.71152177136, 7585.838116317995, 3.279587012230908E8, 3.181500505983767E8, 1.3497999003431694E-5, 146.1440521725505, 1.5470924634084876E-4, 0.0010350007057336702, 7.793587896130265E-5, 40.66354929238815, 0.48129350346251387, -0.009870804115768213, -49.9865, 150.5578, 10490
961.3923115520884, -9.888957897807348, 0.059969630559340174, 20.0, 0.013758373581152459, 196.70389354614926, 6.344803476026193, 1.1017900327341157, 2.731971412068484E-6, 5.4829589191439904E16, 0.6896350606280759, 0.1451293134180899, 0.02245451344219307, 0.6915334980247393, -0.007219600858879495, 2.0333032844390453, 7841.712882128356, 7594.529939129821, 3.2888143827646327E8, 3.185145856471047E8, 1.3491405330646661E-5, 146.1079788094162, 1.5505170240162733E-4, 0.001036524471926003, 7.995462523330803E-5, 40.65743847208419, 0.47432337904947763, -0.009873569534896485, -49.9865, 150.5597, 10490
964.8438333482202, -9.92662996903759, 0.059969630559340174, 20.0, 0.013758373581152459, 197.05452168829007, 6.352283510831629, 1.130627612151609, 2.7340858781719397E-6, 5.4738402006261E16, 0.6897835803002216, 0.14517414403020698, 0.02251204162370432, 0.6921611016979469, -0.08400223773277173, 2.1142639571356763, 7864.952109474022, 7603.742468404369, 3.298560914713405E8, 3.1890095912487924E8, 1.3484382491556441E-5, 146.06987785647905, 1.554123955147245E-4, 0.0010381281275872517, 8.207899588672974E-5, 40.6509839394749, 0.4669620839889137, -0.009876496918787232, -49.9865, 150.5616, 10490
968.4899853314882, -9.966443809207734, 0.059969630559340174, 20.0, 0.013758373581152459, 197.42424542514735, 6.360175787210785, 1.161373195838867, 2.736309119360042E-6, 5.4642866012690304E16, 0.6899395624748352, 0.145221257802012, 0.02257253580350746, 0.690676908162321, 0.060896227897512034, 1.9737288443019159, 7889.498711660329, 7613.507788418621, 3.3088557596703416E8, 3.1931051664627695E8, 1.3476902345689774E-5, 146.0296361839876, 1.5579226016313957E-4, 0.0010398156291838742, 8.431406068752704E-5, 40.644166413904365, 0.4591877754589273, -0.009879596084106022, -49.9865, 150.5637, 10490
