angle, time_diff, t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, CCS_rest, V, V_rest, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
45.0, 900.0, 0.0, 0.0, 0.06135526359713373, 20.0, 0.014113583231881104, 15.384787559509277, 3.6509575843811035, 0.0, 1.049793033786834E-6, 5.652E16, 0.4772129549087957, 0.1003190526092572, -0.017109351818909116, 0.6978848670957184, -0.43874937835461736, 1.7877015285861608, 352.9215350355194, 352.9215350355194, 1.4801529179389684E7, 1.4801529179389684E7, 1.6969325183810817E-5, 146.5066210196693, 8.776472099442486E-6, 1.5294337934055246E-4, 2.700288516688968E-5, 40.77052181462817, 0.6028902323080487, -0.009822524127634782, -49.9868, 150.5252, 10491
45.0, 900.0, 1.0, -0.009976321631173079, 0.06135526359713373, 20.0, 0.014113583231881104, 16.634052069809737, 3.654821260939263, 3.637085254586744E-4, 1.049793033786834E-6, 5.573776527662376E16, 0.4772129549087957, 0.1003190526092572, -0.017109351818909116, 0.6978848670957184, -0.43874937835461736, 1.7877015285861608, 381.9830284763506, 381.9830284763506, 1.6020368214298146E7, 1.5798646906822968E7, 1.6595723575062923E-5, 146.49563848312778, 8.776479114439285E-6, 1.5294332711276182E-4, 2.7257141462288068E-5, 40.76864713962075, 0.6007463859644533, -0.009823378251832526, -49.9867, 150.5258, 10491
45.0, 900.0, 1.0564406686968904, -0.010539726077380582, 0.06135526359713373, 20.0, 0.014113583231881104, 16.701775804092794, 3.6550392076644402, 3.844617233108424E-4, 1.0698827763083788E-6, 5.573776527662376E16, 0.4817341828365492, 0.10093870591151659, -0.016810930021924922, 0.6964789582180534, -0.4529989717529771, 1.8365670168671357, 383.56110224689854, 383.56110224689854, 1.6086552628234925E7, 1.5863927308263594E7, 1.6577056162424897E-5, 146.49500407609904, 9.290045006974734E-6, 1.5885303886584715E-4, 2.7271491987082154E-5, 40.76854133621517, 0.6006253958679646, -0.009823389530121492, -49.9867, 150.5259, 10491
45.0, 900.0, 1.1160668864767327, -0.011134951306414932, 0.06135526359713373, 20.0, 0.014113583231881104, 16.773024882908647, 3.6552694413324955, 4.064124169012995E-4, 1.070952227011902E-6, 5.5737807359005288E16, 0.4819724648969183, 0.10097182172718096, -0.016794791268678028, 0.6728802242688342, 0.9596785772357518, 0.42608366997650904, 385.22162177808354, 385.22162177808354, 1.6156194817372823E7, 1.5932618328396363E7, 1.6557578400215402E-5, 146.49435689109563, 9.317932794774528E-6, 1.5917077536255244E-4, 2.728665247348217E-5, 40.768429561457665, 0.6004975776035297, -0.009823438405586967, -49.9867, 150.5259, 10491
45.0, 900.0, 1.1790584478599357, -0.011763795736805688, 0.06135526359713373, 20.0, 0.014113583231881104, 16.847968013367474, 3.655512653791278, 4.296312363336089E-4, 1.0720752446051386E-6, 5.5737851523840168E16, 0.4822224237456115, 0.10100660913509014, -0.016777817051318547, 0.685230711697128, 0.6732910065633365, 0.71481203787409, 386.96856701759094, 386.96856701759094, 1.6229461700717764E7, 1.6004884617458023E7, 1.653726605186424E-5, 146.49365138048128, 9.347275725584929E-6, 1.595047591770845E-4, 2.7302668637666756E-5, 40.76831147835146, 0.600362545853423, -0.009823490042036018, -49.9867, 150.5259, 10491
45.0, 900.0, 1.2456052950898682, -0.012428159554421158, 0.06135526359713373, 20.0, 0.014113583231881104, 16.926780558342312, 3.655769575747704, 4.541931521318896E-4, 1.0732541510184212E-6, 5.5737897858850168E16, 0.4824845379276806, 0.10104314179852193, -0.016759968276219228, 0.6971187188430875, -0.7094534834107393, 2.1000539781024106, 388.8060790116285, 388.8060790116285, 1.63065269537477E7, 1.6080897491097877E7, 1.6516097237839148E-5, 146.49292907852853, 9.378146993600754E-6, 1.5985575053545123E-4, 2.7319588776157417E-5, 40.76818673088338, 0.6002198935606171, -0.009823544594787632, -49.9867, 150.526, 10491
45.0, 900.0, 1.3159080908771277, -0.013130050487598301, 0.06135526359713373, 20.0, 0.014113583231881104, 17.009644673054822, 3.6560409789391177, 4.801777614964726E-4, 1.074491378633532E-6, 5.5737946453886856E16, 0.4827593064305339, 0.10108149695785609, -0.016741203750722092, 0.6971450874150307, -0.735706435014291, 2.1289718377354627, 390.7384637379502, 390.7384637379502, 1.6387571169169633E7, 1.6160835089045959E7, 1.649404922784122E-5, 146.49216600919644, 9.410618513215005E-6, 1.602245204977144E-4, 2.7337463910697745E-5, 40.768054942950265, 0.6000691907020235, -0.009823602229452695, -49.9867, 150.526, 10491
45.0, 900.0, 1.390178823469881, -0.0138715899052548, 0.06135526359713373, 20.0, 0.014113583231881104, 17.09674943401008, 3.6563276784246765, 5.07669595522701E-4, 1.0757893973291787E-6, 5.5737997400816816E16, 0.4830472321104178, 0.10112175317763487, -0.016721481251601583, 0.6953325636562244, -0.3030065596241185, 1.6991157593544512, 392.7701958242495, 392.7701958242495, 1.6472782012869025E7, 1.6244882529045649E7, 1.647110011740855E-5, 146.49133807395899, 9.444764259555345E-6, 1.6061185733306176E-4, 2.735634794328929E-5, 40.76791571722602, 0.5999099829939021, -0.009823663119886479, -49.9867, 150.526, 10491
45.0, 900.0, 1.4686414458747774, -0.014655019264724374, 0.06135526359713373, 20.0, 0.014113583231881104, 17.188290959481463, 3.656630535003255, 5.367584490758334E-4, 1.0771507464473807E-6, 5.5738050793385464E16, 0.4833488284439109, 0.10116399134369308, -0.016700757004867492, 0.6790875867810287, 0.8241791564100928, 0.5749648863399547, 394.90592213889516, 394.90592213889516, 1.6562354374505263E7, 1.6333232055511758E7, 1.6447230230185533E-5, 146.49048643725735, 9.480666464339102E-6, 1.6101860451721037E-4, 2.7376297818735642E-5, 40.767768633964124, 0.5997417905234834, -0.009823727449811534, -49.9867, 150.5261, 10491
45.0, 900.0, 1.5515325511559177, -0.015482706930017645, 0.06135526359713373, 20.0, 0.014113583231881104, 17.28447252077945, 3.656950457764683, 5.675397354372988E-4, 1.0785780607945459E-6, 5.5738106727057656E16, 0.48366462488797396, 0.10120829547698577, -0.01667898524922022, 0.6866848413695322, 0.5556236820985273, 0.8467592250015673, 397.1504652421715, 397.1504652421715, 1.6656490512256673E7, 1.6426083182424258E7, 1.6422419061213102E-5, 146.48956493607136, 9.518404172013102E-6, 1.614456039823808E-4, 2.739737369521485E-5, 40.76761324973271, 0.5995641063036148, -0.009823795414470862, -49.9867, 150.5261, 10491
