t, z, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
0.0, 0.0, 15.384787559509277, 3.715123414993286, -0.0, 1.0983101256861193E-6, 3.14E14, 0.4879874193286641, 0.10182262037083012, -0.016373521080003145, 0.6958045891014579, -0.9243448259121202, 2.3771515305300577, 359.12415528324806, 1.9096862323803907E-5, 156.81892342117976, 1.0067961672003595E-5, 1.6758473732124272E-4, -2.0038382278394912E-4, 42.49312479348762, 2.6106227023823316, -0.00936913048536338, -50.0, 150.0, 10500
1.0, -0.00953689152106428, 16.63405208614015, 3.7188249133017384, -0.0027650290296025015, 1.0983101256861193E-6, 3.14E14, 0.4879874193286641, 0.10182262037083012, -0.016373521080003145, 0.6958045891014579, -0.9243448259121202, 2.3771515305300577, 388.67235942262147, 1.8127947376099462E-5, 156.80757133234775, 1.0067967160341394E-5, 1.675846763439645E-4, -2.0013382820691726E-4, 42.49117683371376, 2.6083075022804656, -0.009369306783743038, -49.9999, 150.0005, 10500
1.0550334943246098, -0.010061906911873095, 16.70009067759542, 3.7190285127358824, -0.0029171575577539594, 1.1082392794195093E-6, 3.14E14, 0.49013277284466594, 0.10213287246073359, -0.016216713897336726, 0.6945013543501829, -0.8201500478519855, 2.3019691321370663, 390.23678511124285, 1.808073804251048E-5, 156.80695466344525, 1.0343499196927353E-5, 1.7062843504948188E-4, -2.0012006982758938E-4, 42.49106963536106, 2.6081801001767166, -0.009369296246310206, -49.9999, 150.0006, 10500
1.1130956741467966, -0.010615825579311752, 16.76948168257911, 3.7192433048759166, -0.0030776536240280984, 1.1087600321779633E-6, 3.14E14, 0.49024474563167436, 0.10214916204779888, -0.01620843368359655, 0.6898028130583486, -0.056349875224203406, 1.5397512134680578, 391.880900376596, 1.8031529730692746E-5, 156.80630405921923, 1.03580880594584E-5, 1.70788826593173E-4, -2.0010555425446736E-4, 42.490956537779, 2.6080456873862143, -0.0093693054160793, -49.9999, 150.0006, 10500
1.1743532186127021, -0.01120023923996301, 16.84238159401472, 3.7194699043314197, -0.0032469771956690424, 1.1093067760382092E-6, 3.14E14, 0.49036224897957953, 0.10216626646318126, -0.016199734215534625, 0.6812074840118054, 0.5290241719979105, 0.9560446237040463, 393.60845572910915, 1.7980266092108834E-5, 156.80559432956696, 1.0373417898996426E-5, 1.709572945471522E-4, -2.0009023981357735E-4, 42.49083721634299, 2.607903878164983, -0.0093693150937624, -49.9999, 150.0006, 10500
1.2389819798043116, -0.011816827320916438, 16.918952931320064, 3.7197089593822126, -0.003425613492934914, 1.1098806693522768E-6, 3.14E14, 0.4904855232053575, 0.10218422219699068, -0.016190596174600697, 0.693881189240544, -0.7226054208760314, 2.209431296058863, 395.42334963751506, 1.792689325609937E-5, 156.8048701500449, 1.0389527256722013E-5, 1.7113422779787993E-4, -2.0007408253700732E-4, 42.49071132856662, 2.6077542655490955, -0.009369325307321246, -49.9999, 150.0007, 10500
1.307167487558166, -0.012467361801073301, 16.99936436159475, 3.7199611538140154, -0.0036140743722062763, 1.1104829384576993E-6, 3.14E14, 0.49061482227541925, 0.10220306789120577, -0.016180999061923745, 0.6930434016595415, -0.5454290279334292, 2.034106321110027, 397.3296319478787, 1.7871356907493108E-5, 156.80408279678014, 1.0406449135425811E-5, 1.7131999787301424E-4, -2.0005703603917654E-4, 42.49057851311911, 2.607596420187842, -0.009369336087399163, -49.9999, 150.0007, 10500
1.379105482066013, -0.013153712313978038, 17.08379081425648, 3.720227208853182, -0.0038128997837496006, 1.111114811824609E-6, 3.14E14, 0.490750399576478, 0.10222284228092327, -0.01617092223835874, 0.6796588756493669, 0.5744308386214511, 0.9161970302627575, 399.331507199763, 1.7813606289874852E-5, 156.8032767221512, 1.0424224576585834E-5, 1.7151501814463056E-4, -2.0003905137792186E-4, 42.49043838878875, 2.6074298891128866, -0.009369347464890957, -49.9999, 150.0008, 10500
1.4550024757863311, -0.01387785153997503, 17.172413588451477, 3.720507885205744, -0.004022659309381392, 1.1117775963926404E-6, 3.14E14, 0.49089252421118434, 0.10224358658478085, -0.0161603436986143, 0.692166507667159, -0.4227556245289619, 1.9154383903044652, 401.43333782803364, 1.775359132030741E-5, 156.8024262900453, 1.0442891339619409E-5, 1.7171969800408834E-4, -2.0002007691967923E-4, 42.490290553389165, 2.6072541944398013, -0.00936935947392542, -49.9999, 150.0008, 10500
1.5350763462798114, -0.014641860889942258, 17.26542045259018, 3.720803985206261, -0.00424395378339984, 1.1124726113586725E-6, 3.14E14, 0.49104146668936577, 0.10226534243471369, -0.016149241116804963, 0.693112767745175, -0.6200588119911289, 2.114906106541809, 403.6396472397529, 1.76912643472683E-5, 156.80150573757024, 1.046248783683289E-5, 1.7193445232229382E-4, -2.0000005818821955E-4, 42.49013458260551, 2.6070688319978994, -0.009369372149445452, -49.9999, 150.0009, 10500
1.6195569616706442, -0.015447936506044428, 17.3630057353965, 3.721116355082251, -0.004477417001553482, 1.1132012173909466E-6, 3.14E14, 0.4911975050960758, 0.10228815279182268, -0.016137591370387352, 0.6912059781952437, -0.29401229252601263, 1.7911393024576745, 405.95512275684916, 1.762658177381213E-5, 156.80055913416584, 1.048305981331812E-5, 1.7215974056939014E-4, -1.9997893770796094E-4, 42.48997002877731, 2.6068732698854733, -0.009369385528401714, -49.9999, 150.0009, 10500
