angle, time_diff, t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, c1_esp, CCS, CCS_rest, V, V_rest, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
80, 900.0, 0.0, 0.0, 0.06135526359713373, 20.0, 0.014113583231881104, 15.384787559509277, 3.6509575843811035, 0.0, 1.049793033786834E-6, 5.652E16, 0.4772129549087957, 0.1003190526092572, -0.017109351818909116, 0.6978848670957184, -0.43874937835461736, 1.7877015285861608, 1.0, 352.9215350355194, 352.9215350355194, 1.4801529179389684E7, 1.4801529179389684E7, 1.6969325183810817E-5, 146.5066210196693, 8.776472099442486E-6, 1.5294337934055246E-4, 2.700288516688968E-5, 40.77052181462817, 0.6028902323080487, -0.009822524127634782, -49.9868, 150.5252, 10491
80, 900.0, 1.0, -0.009976321631173079, 0.06135526359713373, 20.0, 0.014113583231881104, 16.634052069809737, 3.654821260939263, 3.637085254586744E-4, 1.049793033786834E-6, 5.594943893616896E16, 0.4772129549087957, 0.1003190526092572, -0.017109351818909116, 0.6978848670957184, -0.43874937835461736, 1.7877015285861608, 0.9898, 381.9830284763506, 381.9830284763506, 1.6020368214298146E7, 1.5858644960028596E7, 1.6599431665252396E-5, 146.49563848312778, 8.776479114439285E-6, 1.5294332711276182E-4, 2.7257141462288068E-5, 40.76864713962075, 0.6007463859644533, -0.009823378251832526, -49.9867, 150.5258, 10491
80, 900.0, 1.0564406686968904, -0.010539727412851295, 0.06135526359713373, 20.0, 0.014113583231881104, 16.701775804092794, 3.6550392076644402, 3.844617233108424E-4, 1.069962453991034E-6, 5.594943893616896E16, 0.48175194393605075, 0.10094117273535655, -0.01680972849965541, 0.6976616175202015, -0.8345719414211683, 2.2183022817123037, 0.9898, 383.56110224689854, 383.56110224689854, 1.6086552628234925E7, 1.5924159533266101E7, 1.6580949525706926E-5, 146.4950040760793, 9.292120742005102E-6, 1.5887670036149058E-4, 2.7271491987082154E-5, 40.76854133621513, 0.6006253958697516, -0.009823389530121492, -49.9867, 150.5259, 10491
80, 900.0, 1.1160668864767327, -0.011134954127854717, 0.06135526359713373, 20.0, 0.014113583231881104, 16.773024882908647, 3.6552694413324955, 4.0641241691577576E-4, 1.0710360633627447E-6, 5.5949432897168536E16, 0.4819911341481587, 0.10097441824921373, -0.016793525054972627, 0.6956607785194157, -0.26331727453301434, 1.6492529734766357, 0.9898, 385.22162177808354, 385.22162177808354, 1.6156194817372823E7, 1.5993096849038426E7, 1.6561665081095865E-5, 146.49435689105403, 9.320121247121774E-6, 1.5919569677163152E-4, 2.728665247348217E-5, 40.768429561457566, 0.6004975776073072, -0.009823438405582027, -49.9867, 150.5259, 10491
80, 900.0, 1.1790584478599357, -0.011763800211427422, 0.06135526359713373, 20.0, 0.014113583231881104, 16.847968013367474, 3.655512653791278, 4.296312363489022E-4, 1.0721634392451814E-6, 5.5949426466165928E16, 0.4822420427235546, 0.10100934166990794, -0.01677648283038541, 0.6931235613299664, 0.12904659973588234, 1.259241860401352, 0.9898, 386.96856701759094, 386.96856701759094, 1.6229461700717764E7, 1.6065622130795022E7, 1.6541554325867566E-5, 146.49365138041532, 9.349582785963353E-6, 1.595310036846859E-4, 2.7302668637932623E-5, 40.76831147835131, 0.6003625458594102, -0.009823490042025563, -49.9867, 150.5259, 10491
80, 900.0, 1.2456052950898682, -0.012428165867968985, 0.06135526359713373, 20.0, 0.014113583231881104, 16.926780558342312, 3.655769575747704, 4.541931521318896E-4, 1.0733469114158828E-6, 5.5949419615832128E16, 0.4825051496269304, 0.10104601691645022, -0.016758562579708078, 0.6977716895493201, -0.9565024190247171, 2.3473011585226105, 0.9898, 388.8060790116285, 388.8060790116285, 1.63065269537477E7, 1.6141907289283661E7, 1.6520595606146113E-5, 146.49292907843542, 9.380578838378721E-6, 1.598833841089897E-4, 2.7319588776423246E-5, 40.76818673088316, 0.600219893569065, -0.00982354459477106, -49.9867, 150.526, 10491
80, 900.0, 1.3159080908771277, -0.013130058846355791, 0.06135526359713373, 20.0, 0.014113583231881104, 17.009644673054822, 3.6560409789391177, 4.80177761513541E-4, 1.0745889202246781E-6, 5.594941231680428E16, 0.4827809552610251, 0.1010845214895112, -0.016739722952696573, 0.697648501217599, -0.9257445002553427, 2.3192219032503174, 0.9898, 390.7384637379502, 390.7384637379502, 1.6387571169169633E7, 1.6222131081589498E7, 1.6498766411555158E-5, 146.49216600907306, 9.413181614390931E-6, 1.6025361196248648E-4, 2.7337463910697745E-5, 40.76805494294998, 0.6000691907132105, -0.009823602229429311, -49.9867, 150.526, 10491
80, 900.0, 1.390178823469881, -0.013871600538263551, 0.06135526359713373, 20.0, 0.014113583231881104, 17.09674943401008, 3.6563276784246765, 5.07669595522701E-4, 1.075891943656756E-6, 5.5949404537530192E16, 0.4830699638962001, 0.10112493421895068, -0.01671992156317134, 0.6962814414526044, -0.5330360591091687, 1.9293720055898127, 0.9898, 392.7701958242495, 392.7701958242495, 1.6472782012869025E7, 1.6306479265405465E7, 1.6476045050539765E-5, 146.4913380738021, 9.447465396660327E-6, 1.6064247845864514E-4, 2.735634794328929E-5, 40.76791571722566, 0.5999099830081311, -0.009823663119855502, -49.9867, 150.526, 10491
80, 900.0, 1.4686414458747774, -0.014655032426234393, 0.06135526359713373, 20.0, 0.014113583231881104, 17.188290959481463, 3.656630535003255, 5.367584490758334E-4, 1.0772585292797782E-6, 5.5949396244101496E16, 0.48337269041481584, 0.10116733626035948, -0.01669911446882788, 0.6857624881396801, 0.6012237509383769, 0.798162844213524, 0.9898, 394.90592213889516, 394.90592213889516, 1.6562354374505263E7, 1.6395144747992164E7, 1.645241205018789E-5, 146.49048643706317, 9.483512738216447E-6, 1.6105083010795287E-4, 2.737629781846994E-5, 40.76776863396368, 0.5997417905410929, -0.00982372744977214, -49.9867, 150.5261, 10491
80, 900.0, 1.5515325511559177, -0.015482722902192403, 0.06135526359713373, 20.0, 0.014113583231881104, 17.28447252077945, 3.656950457764683, 5.67539735417174E-4, 1.0786913201993727E-6, 5.594938740007472E16, 0.4836896656582213, 0.10121181190746961, -0.016677255735091184, 0.6873071787283096, 0.5182117702290271, 0.8844306257866298, 0.9898, 397.1504652421715, 397.1504652421715, 1.6656490512256673E7, 1.648832772933474E7, 1.6427847099475926E-5, 146.48956493583566, 9.521403014784279E-6, 1.6147951194645348E-4, 2.7397373695480507E-5, 40.76761324973218, 0.5995641063249906, -0.009823795414422095, -49.9867, 150.5261, 10491
