angle, time_diff, t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, c1_esp, CCS, CCS_rest, V, V_rest, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
65, 900.0, 0.0, 0.0, 0.06135526359713373, 20.0, 0.014113583231881104, 15.384787559509277, 3.6509575843811035, 0.0, 1.049793033786834E-6, 5.652E16, 0.4772129549087957, 0.1003190526092572, -0.017109351818909116, 0.6978848670957184, -0.43874937835461736, 1.7877015285861608, 1.0, 352.9215350355194, 352.9215350355194, 1.4801529179389684E7, 1.4801529179389684E7, 1.6969325183810817E-5, 146.5066210196693, 8.776472099442486E-6, 1.5294337934055246E-4, 2.700288516688968E-5, 40.77052181462817, 0.6028902323080487, -0.009822524127634782, -49.9868, 150.5252, 10491
65, 900.0, 1.0, -0.009976321631173079, 0.06135526359713373, 20.0, 0.014113583231881104, 16.634052069809737, 3.654821260939263, 3.637085254586744E-4, 1.049793033786834E-6, 5.590453561958524E16, 0.4772129549087957, 0.1003190526092572, -0.017109351818909116, 0.6978848670957184, -0.43874937835461736, 1.7877015285861608, 0.9889, 381.9830284763506, 381.9830284763506, 1.6020368214298146E7, 1.5845917294322398E7, 1.6598613856699422E-5, 146.49563848312778, 8.776479114439285E-6, 1.5294332711276182E-4, 2.7257141462288068E-5, 40.76864713962075, 0.6007463859644533, -0.009823378251832526, -49.9867, 150.5258, 10491
65, 900.0, 1.0564406686968904, -0.010539727118325645, 0.06135526359713373, 20.0, 0.014113583231881104, 16.701775804092794, 3.6550392076644402, 3.844617233108424E-4, 1.0699448823288572E-6, 5.590453561958524E16, 0.4817480271190301, 0.1009406287103005, -0.016809993488567626, 0.6977387085187206, -0.8310777840705056, 2.2147723163421156, 0.9889, 383.56110224689854, 383.56110224689854, 1.6086552628234925E7, 1.5911384370275052E7, 1.6580090855709922E-5, 146.4950040760837, 9.291662944655306E-6, 1.5887148203860035E-4, 2.7271491987082154E-5, 40.76854133621514, 0.6006253958693537, -0.009823389530121492, -49.9867, 150.5259, 10491
65, 900.0, 1.1160668864767327, -0.01113495350561289, 0.06135526359713373, 20.0, 0.014113583231881104, 16.773024882908647, 3.6552694413324955, 4.0641241691577576E-4, 1.0710175746264635E-6, 5.5904547443526544E16, 0.4819870170768392, 0.10097384562242027, -0.016793804310998597, 0.6962424075771183, -0.38916343042149626, 1.7750608594209072, 0.9889, 385.22162177808354, 385.22162177808354, 1.6156194817372823E7, 1.5980271749566961E7, 1.6560763775462357E-5, 146.49435689106312, 9.319638590294164E-6, 1.591902005947037E-4, 2.728665247374807E-5, 40.76842956145759, 0.6004975776064772, -0.009823438405583126, -49.9867, 150.5259, 10491
65, 900.0, 1.1790584478599357, -0.011763799224592792, 0.06135526359713373, 20.0, 0.014113583231881104, 16.847968013367474, 3.655512653791278, 4.296312363489022E-4, 1.0721439894198658E-6, 5.5904559798592208E16, 0.482237716232271, 0.10100873904901089, -0.01677677708476695, 0.6977067101461895, -0.8962133338329803, 2.2844608839138347, 0.9889, 386.96856701759094, 386.96856701759094, 1.6229461700717764E7, 1.6052744542534463E7, 1.6540608559454607E-5, 146.49365138042984, 9.349073970477938E-6, 1.5952521572009667E-4, 2.7302668637666756E-5, 40.768311478351336, 0.6003625458580912, -0.009823490042027861, -49.9867, 150.5259, 10491
65, 900.0, 1.2456052950898682, -0.01242816447557819, 0.06135526359713373, 20.0, 0.014113583231881104, 16.926780558342312, 3.655769575747704, 4.541931521480461E-4, 1.073326454756939E-6, 5.590457270088764E16, 0.482500604237244, 0.10104538285271214, -0.016758872597327987, 0.6911377267461143, 0.3094955376607611, 1.0812594607440285, 0.9889, 388.8060790116285, 388.8060790116285, 1.63065269537477E7, 1.6128974542743597E7, 1.65196035040429E-5, 146.49292907845597, 9.380042502055354E-6, 1.598772898096403E-4, 2.7319588776423246E-5, 40.76818673088321, 0.6002198935672003, -0.009823544594774705, -49.9867, 150.526, 10491
65, 900.0, 1.3159080908771277, -0.013130057002915883, 0.06135526359713373, 20.0, 0.014113583231881104, 17.009644673054822, 3.6560409789391177, 4.801777614964726E-4, 1.0745674092312763E-6, 5.5904586166115184E16, 0.48277618118269755, 0.10108385447682083, -0.016740049533186738, 0.6949712887499991, -0.1956631867972357, 1.58909381322932, 0.9889, 390.7384637379502, 390.7384637379502, 1.6387571169169633E7, 1.6209140385990988E7, 1.649772605034761E-5, 146.49216600910032, 9.412616329849101E-6, 1.6024719615115304E-4, 2.7337463910431953E-5, 40.768054942950045, 0.6000691907107423, -0.009823602229434463, -49.9867, 150.526, 10491
65, 900.0, 1.390178823469881, -0.013871598193262745, 0.06135526359713373, 20.0, 0.014113583231881104, 17.09674943401008, 3.6563276784246765, 5.07669595522701E-4, 1.0758693290413866E-6, 5.5904600209442264E16, 0.4830649510274883, 0.10112423269271734, -0.016720265542096102, 0.6807801772187931, 0.790701493672402, 0.6055844220791953, 0.9889, 392.7701958242495, 392.7701958242495, 1.6472782012869025E7, 1.6293427704545919E7, 1.647495445985778E-5, 146.49133807383666, 9.446869668694087E-6, 1.606357253089383E-4, 2.735634794328929E-5, 40.76791571722574, 0.5999099830049959, -0.009823663119862333, -49.9867, 150.526, 10491
65, 900.0, 1.4686414458747774, -0.014655029523601698, 0.06135526359713373, 20.0, 0.014113583231881104, 17.188290959481463, 3.656630535003255, 5.367584490758334E-4, 1.0772347599420618E-6, 5.5904614845355048E16, 0.4833674283443365, 0.10116659859653734, -0.016699476718865458, 0.6954867027890567, -0.3553060132851867, 1.754639089806932, 0.9889, 394.90592213889516, 394.90592213889516, 1.6562354374505263E7, 1.6382029276092546E7, 1.645126921479248E-5, 146.4904864371059, 9.482885000755375E-6, 1.6104372312437604E-4, 2.7376297818735642E-5, 40.767768633963776, 0.5997417905372164, -0.009823727449780812, -49.9867, 150.5261, 10491
65, 900.0, 1.5515325511559177, -0.015482719379701105, 0.06135526359713373, 20.0, 0.014113583231881104, 17.28447252077945, 3.656950457764683, 5.675397354372988E-4, 1.0786663432099256E-6, 5.5904630087496768E16, 0.4836841436696967, 0.10121103642189462, -0.01667763716712696, 0.6898267432235623, 0.35491852516848893, 1.047666614766777, 0.9889, 397.1504652421715, 397.1504652421715, 1.6656490512256673E7, 1.6475145166880524E7, 1.64266499613562E-5, 146.4895649358876, 9.520741628695493E-6, 1.6147203394918904E-4, 2.7397373695480507E-5, 40.7676132497323, 0.5995641063202766, -0.009823795414432838, -49.9867, 150.5261, 10491
