t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, state_indicator, c0_esp, CCS, CCS_rest, V, V_rest, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
28907.588713011442, 208.53660777974395, 0.059969630559340174, 20.0, 0.013758373581152459, 1588.9896787023768, 28.447231001917682, 28822.389298700717, 1.0782642383641204E-5, 2.4855659313411584E16, 0.8727626463054563, 0.2552209861470589, 0.23277161432612176, 0.7419083371995833, 7.191959566761057E-4, 1.9900591413382012, 2.0, 1.0, 201749.20589676633, 201749.20589676633, 8.46136169531038E9, 8.46136169531038E9, 1.4184305397273344E-5, 167.99949508369863, 0.009500993612225728, 0.016276810846323608, 0.0014205668337933619, 35.911479785977455, -4.466490206570596, 0.017060567581827047, -52.1116, 164.8138, 10709
28967.588713011442, 208.5577677192678, 0.059969630559340174, 20.0, 0.013758373581152459, 1597.1914687198896, 28.47623494260091, 29100.883905517334, 1.0792491127449831E-5, 2.4855659313411584E16, 0.8728368225023428, 0.2553234350107303, 0.23300521607009606, 0.7418847631553164, -0.014308492528590785, 2.007526522926115, 2.0, 1.0, 202331.91343582334, 202331.91343582334, 8.485800449498431E9, 8.485800449498431E9, 1.4182173677631718E-5, 167.81444723141175, 0.009527316235093716, 0.016306571934985352, 0.0014303844943984745, 35.92028111678537, -4.474635988732719, 0.016659224194952537, -52.1141, 164.8453, 10709
29027.588713011442, 208.5531791711302, 0.059969630559340174, 20.0, 0.013758373581152459, 1605.430235283363, 28.505209371901536, 29380.366017013243, 1.0802330501977536E-5, 2.4855659313411584E16, 0.8729108109444499, 0.2554257454543808, 0.23323853489295987, 0.7419604091130649, 0.003206532576480228, 1.9924372777979515, 2.0, 1.0, 202916.8278796631, 202916.8278796631, 8.51033176127307E9, 8.51033176127307E9, 1.417993147936397E-5, 167.62491501325394, 0.009553668896297957, 0.01633631559348658, 0.001440174701142681, 35.92906768131676, -4.482759430781369, 0.01625984266759698, -52.1165, 164.8769, 10709
29087.588713011442, 208.52296144384366, 0.059969630559340174, 20.0, 0.013758373581152459, 1613.7056204293742, 28.53415437971978, 29660.83050035128, 1.0812159990557238E-5, 2.4855659313411584E16, 0.8729846083796619, 0.25552791227847044, 0.2334715587284193, 0.7420095150970955, 0.010440299471091269, 1.9876088719734382, 2.0, 1.0, 203503.96089502604, 203503.96089502604, 8.534956119937392E9, 8.534956119937392E9, 1.4177577938364378E-5, 167.430909332816, 0.009580051801637844, 0.01636604105179154, 0.0014499377543319687, 35.9378387882856, -4.490861525541628, 0.015862430514043464, -52.1189, 164.9085, 10709
29147.588713011442, 208.46723429022197, 0.059969630559340174, 20.0, 0.013758373581152459, 1622.0172647784716, 28.563070055500337, 29942.27216722065, 1.0821979356772773E-5, 2.4855659313411584E16, 0.8730582136764261, 0.2556299332026131, 0.23370428216389855, 0.7419802532173795, -0.006905767061894609, 2.0073335632940097, 2.0, 1.0, 204093.32448006593, 204093.32448006593, 8.559674028693965E9, 8.559674028693965E9, 1.4175111778397091E-5, 167.23241611985597, 0.009606464109331532, 0.016395747428260984, 0.0014596739726981205, 35.94659375882111, -4.49894326620855, 0.015466995214610382, -52.1213, 164.9401, 10708
29207.588713011442, 208.38611798134232, 0.059969630559340174, 20.0, 0.013758373581152459, 1630.3648075765025, 28.591956488235606, 30224.68577354603, 1.0831788262339815E-5, 2.4855659313411584E16, 0.8731316249494853, 0.2557318048919859, 0.23393669737902767, 0.7420028771599769, -0.0065880886319837385, 2.009361567418403, 2.0, 1.0, 204684.93098009133, 204684.93098009133, 8.584486005305031E9, 8.584486005305031E9, 1.4172531702138746E-5, 167.02942123930995, 0.00963290469827471, 0.016425433529928184, 0.001469383693319857, 35.95533192667513, -4.5070056465499455, 0.01507354421392991, -52.1237, 164.9717, 10708
29267.588713011442, 208.27929795157522, 0.059969630559340174, 20.0, 0.013758373581152459, 1638.3167583344223, 28.62081376646891, 30493.83313997835, 1.0841586366451159E-5, 2.4855659313411584E16, 0.8732048403075348, 0.25583352399055476, 0.2341687965017475, 0.7420869556055784, 0.011418333295341122, 1.9936618325981978, 2.0, 1.0, 205274.12881073038, 205274.12881073038, 8.609196962322033E9, 8.609196962322033E9, 1.41698414806113E-5, 166.7946856381386, 0.009659371344455958, 0.016455097186933054, 0.0014787357823067152, 35.96482442451661, -4.5144383197023545, 0.014674829029326403, -52.1262, 165.0033, 10708
29327.588713011442, 208.1432386112829, 0.059969630559340174, 20.0, 0.013758373581152459, 1642.6604774080085, 28.649641978297648, 30643.839526442756, 1.085129243710047E-5, 2.4855659313411584E16, 0.873277254835645, 0.255934247872255, 0.23439865624576844, 0.7420553808344571, -0.005918478314463219, 2.013241946644937, 2.0, 1.0, 205825.9957083706, 205825.9957083706, 8.632342260009064E9, 8.632342260009064E9, 1.4167084841448239E-5, 166.3279273813635, 0.009685652288919561, 0.016484491417565864, 0.0014852848942724112, 35.98079910495923, -4.51672569461851, 0.014216917981956031, -52.1286, 165.0349, 10708
29387.588713011442, 207.97815594481892, 0.059969630559340174, 20.0, 0.013758373581152459, 1647.0013989188244, 28.678441211376413, 30793.877387706136, 1.0860303724640857E-5, 2.4855659313411584E16, 0.8733443852181342, 0.2560277263136945, 0.23461200928921666, 0.742083452963084, -0.00614494237971764, 2.0155090200410357, 2.0, 1.0, 206379.3102023043, 206379.3102023043, 8.655548269884642E9, 8.655548269884642E9, 1.4164085748465445E-5, 165.8586096857465, 0.009710124478548507, 0.016511780582335628, 0.0014918165820277398, 35.996787418426095, -4.519002629983615, 0.013760503591791986, -52.1311, 165.0666, 10708
29447.588713011442, 207.78414999706118, 0.059969630559340174, 20.0, 0.013758373581152459, 1651.3393459741571, 28.707211552920135, 30943.941413835455, 1.086925970731314E-5, 2.4855659313411584E16, 0.8734110078997541, 0.2561205973275674, 0.23482400255092734, 0.7421770797653519, 0.0156918598333266, 1.9956556654883948, 2.0, 1.0, 206934.09642776885, 206934.09642776885, 8.678816004180626E9, 8.678816004180626E9, 1.4160844561680343E-5, 165.38673107555175, 0.009734496435669095, 0.01653890540093628, 0.001498332196379777, 36.01278943743304, -4.521270017419058, 0.013305592329272198, -52.1335, 165.0982, 10708
