angle, time_diff, t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, CCS_esti, V_inter, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
20, 900.0, 1.0, -0.009976321631173079, 0.061339204406533815, 20.0, 0.014110167174222575, 16.634052069807403, 3.6518596798415026, 3.61987368932746E-4, 1.257924673933552E-6, 1.8244807858274828E15, 0.5202399513421857, 0.10683941886948096, -0.013627096549106404, 0.6730463087184888, -0.08533059789491618, 2.100897951385556, 371.5346537397189, 371.5346537397189, 455227.2689247987, 3.0643109592639954E-5, 146.63389800114257, 1.5117576553282323E-5, 2.1967947760289562E-4, 2.7172212319406546E-5, 40.769411696220516, 0.6018956595417051, -0.009823432413654356, -49.9868, 150.5256, 10491
20, 900.0, 1.0564406686968904, -0.01054382110071322, 0.061339204406533815, 20.0, 0.014110167174222575, 16.7017758040902, 3.6520777505132007, 3.826430149444416E-4, 1.2908124556350358E-6, 1.6885491877903078E15, 0.5263395010863646, 0.10786878402353116, -0.013007548232655652, 0.655895087484595, 0.605382501348199, 1.497206198108005, 373.0271750365842, 373.0271750365842, 457070.21755315637, 3.052050275896029E-5, 146.6332628883985, 1.6334568918676776E-5, 2.3131643225835063E-4, 2.7186562588464594E-5, 40.76930588949302, 0.6017746661140908, -0.009823480611895336, -49.9868, 150.5256, 10491
20, 900.0, 1.1160668864767327, -0.011143352741850488, 0.061339204406533815, 20.0, 0.014110167174222575, 16.773024882905762, 3.6523081150958827, 4.0449060336002283E-4, 1.2907755756731631E-6, 1.6887464351198825E15, 0.5263327569948199, 0.10786763236059978, -0.013008252131033654, 0.6687714172238917, 0.06679661527856595, 2.0357093922311904, 374.59730822309865, 374.59730822309865, 459009.186207532, 3.0392575373474624E-5, 146.63261497667338, 1.6333170720224833E-5, 2.313032145065453E-4, 2.7201722803540093E-5, 40.76919411122655, 0.6016468443038252, -0.009823529432281715, -49.9868, 150.5257, 10491
20, 900.0, 1.1790584478599357, -0.011776724723379303, 0.061339204406533815, 20.0, 0.014110167174222575, 16.847968013364266, 3.652551465827498, 4.276004453766539E-4, 1.2907368017843372E-6, 1.6889541340750298E15, 0.5263256663395433, 0.10786642154840904, -0.013008992155561963, 0.6565332832050134, 0.5856932632033142, 1.5167257671632024, 376.2487598141716, 376.2487598141716, 461048.7818944304, 3.025917462291237E-5, 146.63193049655587, 1.6331700814303708E-5, 2.3128931837992244E-4, 2.721773868360434E-5, 40.76907602441404, 0.601511808778278, -0.009823581010611556, -49.9868, 150.5257, 10491
20, 900.0, 1.2456052950898682, -0.012445847297163037, 0.061339204406533815, 20.0, 0.014110167174222575, 16.926780558338745, 3.6528085338267138, 4.520471738975659E-4, 1.2906960379170223E-6, 1.689172805315134E15, 0.5263182115201168, 0.10786514858643614, -0.013009770136096083, 0.6776726040756127, -0.6013141955824723, 2.70364174219882, 377.98538192043833, 377.98538192043833, 463193.7951205288, 3.0120150883915266E-5, 146.6311855687702, 1.633015254838658E-5, 2.3127469611479868E-4, 2.7234658520947354E-5, 40.76895127303113, 0.6013691524641214, -0.009823635502408657, -49.9868, 150.5257, 10491
20, 900.0, 1.3159080908771277, -0.01315273856316243, 0.061339204406533815, 20.0, 0.014110167174222575, 17.009644673050854, 3.6530800912654535, 4.7791002877862896E-4, 1.2906531846364773E-6, 1.6894029923573738E15, 0.5263103743131317, 0.10786381036837914, -0.01301058796665408, 0.6734247015666469, -0.23634625890538405, 2.338577585443076, 379.8111751982083, 379.8111751982083, 465449.20393735403, 2.997536007047864E-5, 146.6304216437226, 1.632852822037852E-5, 2.3125933895150777E-4, 2.7252533336729638E-5, 40.768819480962996, 0.601218445320816, -0.00982369307202356, -49.9868, 150.5258, 10491
20, 900.0, 1.390178823469881, -0.013899530563897028, 0.061339204406533815, 20.0, 0.014110167174222575, 17.096749434005673, 3.653366953661524, 5.052731628112211E-4, 1.2906081606550103E-6, 1.689645262327034E15, 0.5263021398095387, 0.10786240435449566, -0.013011447194504727, 0.6560294001708409, 0.6020989821306479, 1.5000311982762946, 381.7302916340103, 381.7302916340103, 467820.17782100965, 2.982466100690137E-5, 146.62959278736636, 1.632681871686305E-5, 2.3124319103103196E-4, 2.7271417033058555E-5, 40.76868025087125, 0.6010592330458127, -0.009823753894216148, -49.9868, 150.5258, 10491
20, 900.0, 1.4686414458747774, -0.014688475715194788, 0.061339204406533815, 20.0, 0.014110167174222575, 17.188290959476568, 3.6536699822978274, 5.34225970345419E-4, 1.2905608525979918E-6, 1.689900206716298E15, 0.5262934872270694, 0.10786092700288408, -0.01301234997880206, 0.6603619897150163, 0.4535489706016426, 1.648474875011713, 383.7470371477372, 383.7470371477372, 470312.08137064107, 2.9667920379713316E-5, 146.6287401965813, 1.632502580971818E-5, 2.312262386113902E-4, 2.7291366554113424E-5, 40.768533162996334, 0.600891035705978, -0.00982381815216247, -49.9868, 150.5259, 10491
20, 900.0, 1.5515325511559177, -0.015521953610163688, 0.061339204406533815, 20.0, 0.014110167174222575, 17.284472520774006, 3.65399008677497, 5.648634404287757E-4, 1.2905111725357033E-6, 1.6901684421513545E15, 0.5262844004318699, 0.10785937556608094, -0.013013297992617065, 0.6745850320951688, -0.32678970777957284, 2.4287018236083067, 385.8658739993976, 385.8658739993976, 472930.47781084076, 2.9505009688358574E-5, 146.62781767045723, 1.6323140139236654E-5, 2.3120842347495847E-4, 2.7312442055213268E-5, 40.76837777389265, 0.6007133462922454, -0.00982388604089931, -49.9868, 150.5259, 10491
20, 900.0, 1.6391020858481498, -0.01640247819751282, 0.061339204406533815, 20.0, 0.014110167174222575, 17.385504643578884, 3.654328227704444, 5.972865367784597E-4, 1.2904590001242673E-6, 1.6904506111678285E15, 0.5262748573556384, 0.10785774628420358, -0.013014293527019272, 0.6740465838870822, -0.2802142752526602, 2.382008986124301, 388.0914229858479, 388.0914229858479, 475681.13228515675, 2.933581026647512E-5, 146.62686612292302, 1.6321163216547884E-5, 2.3118972939865744E-4, 2.7334707091348607E-5, 40.768213615092364, 0.6005256291927981, -0.009823957765032847, -49.9868, 150.5259, 10491
