angle, time_diff, t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, CCS_esti, V_inter, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
60, 900.0, 1.0, -0.009976321631173079, 0.061339204406533815, 20.0, 0.014110167174222575, 16.634052069807403, 3.6518596798415026, 3.61987368932746E-4, 1.257924673933552E-6, 7.300251501687881E14, 0.5202399513421857, 0.10683941886948096, -0.013627096549106404, 0.6730463087184888, -0.08533059789491618, 2.100897951385556, 376.42356439973946, 376.42356439973946, 182149.00257611007, 3.0643109592639954E-5, 146.63389800114257, 1.5117576553282323E-5, 2.1967947760289562E-4, 2.7172212319406546E-5, 40.769411696220516, 0.6018956595417051, -0.009823432413654356, -49.9868, 150.5256, 10491
60, 900.0, 1.0564406686968904, -0.01054382110071322, 0.061339204406533815, 20.0, 0.014110167174222575, 16.7017758040902, 3.6520777505132007, 3.826430149444416E-4, 1.2908124556350358E-6, 6.756351636912022E14, 0.5263395010863646, 0.10786878402353116, -0.013007548232655652, 0.655895087484595, 0.605382501348199, 1.497206198108005, 377.9561166498507, 377.9561166498507, 182896.28476035432, 3.051885613016425E-5, 146.6332628883985, 1.6334568918676776E-5, 2.3131643225835063E-4, 2.7186562588464594E-5, 40.76930588949302, 0.6017746661140908, -0.009823480611895336, -49.9868, 150.5256, 10491
60, 900.0, 1.1160668864767327, -0.011143352245788898, 0.061339204406533815, 20.0, 0.014110167174222575, 16.773024882905762, 3.6523081150958827, 4.0449060337448733E-4, 1.2907523621362012E-6, 6.757505455926995E14, 0.5263285119190589, 0.10786690746038645, -0.013008695178944804, 0.6610436645430239, 0.4301124448353208, 1.6723414950929159, 379.56854261156883, 379.56854261156883, 183682.5881906218, 3.0389210518313383E-5, 146.63261497668069, 1.6332289520151365E-5, 2.3129489498526098E-4, 2.7201722804512823E-5, 40.76919411122656, 0.6016468443031613, -0.009823529432281715, -49.9868, 150.5257, 10491
60, 900.0, 1.1790584478599357, -0.011776723151958574, 0.061339204406533815, 20.0, 0.014110167174222575, 16.847968013364266, 3.652551465827498, 4.276004453766539E-4, 1.2906891662173536E-6, 6.758720217461769E14, 0.5263169548110579, 0.10786493399825732, -0.013009901280418623, 0.6524026238738229, 0.7083251322758426, 1.3939869883114633, 381.26467674203786, 381.26467674203786, 184509.79468817665, 3.0254017881013302E-5, 146.63193049657903, 1.6329892681652508E-5, 2.3127224689873914E-4, 2.721773868360434E-5, 40.76907602441409, 0.6015118087761779, -0.00982358101061339, -49.9868, 150.5257, 10491
60, 900.0, 1.2456052950898682, -0.012445843977124378, 0.061339204406533815, 20.0, 0.014110167174222575, 16.926780558338745, 3.6528085338267138, 4.5204717388142257E-4, 1.2906227139907803E-6, 6.759998935924135E14, 0.52630480152558, 0.10786285882873035, -0.013011169465100822, 0.6772415721784203, -0.5581465880635487, 2.660309468298621, 383.0485063480589, 383.0485063480589, 185379.86209798115, 3.011312657366548E-5, 146.63118556881923, 1.6327369578158697E-5, 2.312484196150285E-4, 2.7234658519974756E-5, 40.76895127303125, 0.6013691524596796, -0.009823635502414472, -49.9868, 150.5257, 10491
60, 900.0, 1.3159080908771277, -0.013152732715316886, 0.061339204406533815, 20.0, 0.014110167174222575, 17.009644673050854, 3.6530800912654535, 4.7791002876157446E-4, 1.2905528459044922E-6, 6.761344755700646E14, 0.5262920227786163, 0.10786067696616745, -0.013012502768039738, 0.6560014206695005, 0.6021982949272309, 1.4998075481319881, 384.92417494923814, 384.92417494923814, 186294.82609052173, 2.996639054180931E-5, 146.6304216438089, 1.6324720249794652E-5, 2.3122338294546952E-4, 2.7252533335757112E-5, 40.7688194809632, 0.6012184453129925, -0.009823693072035853, -49.9868, 150.5258, 10491
60, 900.0, 1.390178823469881, -0.013899521289777419, 0.061339204406533815, 20.0, 0.014110167174222575, 17.096749434005673, 3.653366953661524, 5.052731628112211E-4, 1.2904794182289387E-6, 6.762760955162246E14, 0.5262785921680452, 0.10785838391867715, -0.013013903921201414, 0.6787647430823222, -0.7189292680783553, 2.820769934879907, 386.8959854994915, 386.8959854994915, 187256.80191047955, 2.981366670614989E-5, 146.6295927875033, 1.6321933241964503E-5, 2.3119705878816364E-4, 2.7271417033058555E-5, 40.768680250871554, 0.6010592330334008, -0.009823753894237792, -49.9868, 150.5258, 10491
60, 900.0, 1.4686414458747774, -0.014688461982180698, 0.061339204406533815, 20.0, 0.014110167174222575, 17.188290959476568, 3.6536699822978274, 5.34225970345419E-4, 1.2904022527736688E-6, 6.764250950685282E14, 0.5262644769755227, 0.10785597411780946, -0.013015376312903074, 0.6516824573538902, 0.7255480091774422, 1.3761189203338149, 388.96840345229253, 388.96840345229253, 188267.98606653186, 2.965481992689413E-5, 146.62874019678412, 1.6319007895736593E-5, 2.311694103148075E-4, 2.7291366554113424E-5, 40.76853316299679, 0.6008910356875989, -0.00982381815219682, -49.9868, 150.5259, 10491
60, 900.0, 1.5515325511559177, -0.015521934234914294, 0.061339204406533815, 20.0, 0.014110167174222575, 17.284472520774006, 3.65399008677497, 5.648634404086673E-4, 1.2903211943869591E-6, 6.76581830068435E14, 0.5262496486824549, 0.10785344271415499, -0.013016922890481536, 0.6715525328730514, -0.10323284350562881, 2.204717102190078, 391.14605965615334, 391.14605965615334, 189330.65795721576, 2.948971996764695E-5, 146.62781767074333, 1.6315932336133504E-5, 2.3114035538519657E-4, 2.7312442054240982E-5, 40.76837777389329, 0.6007133462663163, -0.009823886040950192, -49.9868, 150.5259, 10491
60, 900.0, 1.6391020858481498, -0.016402451827528895, 0.061339204406533815, 20.0, 0.014110167174222575, 17.385504643578884, 3.654328227704444, 5.972865367572164E-4, 1.2902360530484846E-6, 6.767466709654424E14, 0.5262340723761334, 0.10785078376891506, -0.01301854726508904, 0.6626995500681642, 0.3626928876514411, 1.7385993130055806, 393.4337530682702, 393.4337530682702, 190447.18142861052, 2.9318246530075745E-5, 146.62686612331248, 1.6312705465416982E-5, 2.3110985297999194E-4, 2.7334707090376413E-5, 40.76821361509324, 0.6005256291575067, -0.009823957765104616, -49.9868, 150.5259, 10491
60, 900.0, 1.731614103635887, -0.01733267046968761, 0.061339204406533815, 20.0, 0.014110167174222575, 17.491605198682315, 3.654685419549913, 6.316026064024866E-4, 1.290146661963562E-6, 6.769200032220901E14, 0.5262177173756674, 0.10784799206810639, -0.01302025260312914, 0.6707048447106583, -0.04746111340036263, 2.148551464685872, 395.836453276086, 395.836453276086, 191620.00626061036, 2.9140286277507165E-5, 146.62583905574957, 1.6309314982182683E-5, 2.3107781685184208E-4, 2.7358228801681223E-5, 40.76804019169508, 0.6003273185337039, -0.009824033542346795, -49.9868, 150.526, 10491
60, 900.0, 1.8293475615700627, -0.018315395811843643, 0.061339204406533815, 20.0, 0.014110167174222575, 17.602999481550604, 3.6550627336245074, 6.679258199074813E-4, 1.2900528190788005E-6, 6.771022277197692E14, 0.5262005465308724, 0.10784506129606046, -0.013022042741901232, 0.6569103716982089, 0.5741967749194783, 1.5266814488371374, 398.3593028187201, 398.3593028187201, 192851.669579769, 2.8955737412279032E-5, 146.62475525179534, 1.63057563232456E-5, 2.3104418833813268E-4, 2.7383078117063425E-5, 40.76785698087226, 0.6001178166480754, -0.00982411360122174, -49.9868, 150.5261, 10491
60, 900.0, 1.9325971612241029, -0.019353591919245076, 0.061339204406533815, 20.0, 0.014110167174222575, 17.71992028022665, 3.6554613012524477, 7.063776458110547E-4, 1.2899543384010857E-6, 6.772937611655189E14, 0.5261825256096483, 0.10784198563806784, -0.013023921210389325, 0.6729592503112919, -0.1988905457672244, 2.2995459099148423, 401.0076193028113, 401.0076193028113, 194144.79719811343, 2.876450923354448E-5, 146.62363332350063, 1.6302025540048863E-5, 2.3100891455796874E-4, 2.740932996996829E-5, 40.76766343029828, 0.5998964920351408, -0.009824198184357003, -49.9868, 150.5261, 10491
60, 900.0, 2.041674237325303, -0.020450390220789805, 0.061339204406533815, 20.0, 0.014110167174222575, 17.842607931187175, 3.655882317103706, 7.470873623102961E-4, 1.2898510280855107E-6, 6.774950365001925E14, 0.52616361928763, 0.1078387590960218, -0.013025891647159296, 0.6745876779296689, -0.32321798326380036, 2.423639284998927, 403.7868973103264, 403.7868973103264, 195502.10487894868, 2.856652170490463E-5, 146.62242625932222, 1.629810940899726E-5, 2.3097190040860736E-4, 2.743706352606505E-5, 40.767458956482244, 0.5996626776093748, -0.009824287548122323, -49.9868, 150.5262, 10491
60, 900.0, 2.1569076965411567, -0.021609098958259243, 0.061339204406533815, 20.0, 0.014110167174222575, 17.97131036289939, 3.6563270427108625, 7.901926092642084E-4, 1.2897426678698905E-6, 6.777065033085944E14, 0.5261437870161437, 0.10783537478359131, -0.013027958230517916, 0.6629325453689486, 0.3552283170416179, 1.7449471804274734, 406.70281009928357, 406.70281009928357, 196926.3995325081, 2.836170952438109E-5, 146.62115229982132, 1.629400270103259E-5, 2.3093308081777693E-4, 2.7466362414855942E-5, 40.767242943011425, 0.5994156686574428, -0.009824381962331336, -49.9868, 150.5262, 10491
60, 900.0, 2.278645009251409, -0.02283321318069296, 0.061339204406533815, 20.0, 0.014110167174222575, 18.106283126959454, 3.6567968101777444, 8.358399847944939E-4, 1.2896290539716552E-6, 6.779286282324558E14, 0.5261229912364795, 0.10783182632836012, -0.013030124821995795, 0.6527894292546215, 0.6963073257038007, 1.4036101196484405, 409.76121110213194, 409.76121110213194, 198420.5803463393, 2.815002164738914E-5, 146.6198294831263, 1.6289700819114383E-5, 2.308923966525178E-4, 2.749731498925421E-5, 40.767014738694286, 0.5991547207171894, -0.00982448171323308, -49.9868, 150.5263, 10491
60, 900.0, 2.4072532572963903, -0.024126425299009373, 0.061339204406533815, 20.0, 0.014110167174222575, 18.247789416848107, 3.657293026089915, 8.841856898337279E-4, 1.2895099768380354E-6, 6.781618953873709E14, 0.526101193306439, 0.10782810717688375, -0.013032395390563556, 0.6769659001590999, -0.5286342161258252, 2.62828083789648, 412.96813523069704, 412.96813523069704, 199987.63985755233, 2.7931420786124278E-5, 146.61841019307903, 1.6285189903377407E-5, 2.3084974661806152E-4, 2.753001458758828E-5, 40.76677365559873, 0.5988790473369079, -0.009824587103307629, -49.9868, 150.5264, 10491
60, 900.0, 2.543120240860966, -0.025492636231011282, 0.061339204406533815, 20.0, 0.014110167174222575, 18.39610007450445, 3.657817175637546, 9.353962256500891E-4, 1.2893851981392126E-6, 6.784068067851446E14, 0.52607834928582, 0.10782420987602778, -0.013034774451047393, 0.6750363388192867, -0.35794193492499193, 2.4573043676132142, 416.329800001098, 416.329800001098, 201630.6649764735, 2.7705887371857214E-5, 146.61691202980444, 1.6280464071237232E-5, 2.3080505931552308E-4, 2.7564559820082075E-5, 40.76651896698015, 0.5985878177088408, -0.009824698451110819, -49.9868, 150.5265, 10491
60, 900.0, 2.6866556478317554, -0.02693596718966328, 0.061339204406533815, 20.0, 0.014110167174222575, 18.55149358509495, 3.658370826961721, 9.896491486268812E-4, 1.28925449663711E-6, 6.786638827633062E14, 0.5260544183305075, 0.10782012750552111, -0.013037266189260557, 0.6726963520459674, -0.17550177929885952, 2.2745660968610197, 419.85260649686427, 419.85260649686427, 203352.83797383762, 2.7473418433474392E-5, 146.6153305417554, 1.627551508175357E-5, 2.3075825614090397E-4, 2.7601054860050742E-5, 40.76624990509245, 0.5982801541693163, -0.009824816094418229, -49.9868, 150.5265, 10491
