t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, c0_esp, CCS, CCS_rest, V, V_rest, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
29507.588713011442, 322.4268196485058, 0.059969630559340174, 20.0, 0.013758373581152459, 1660.5546059679025, 28.735953089707145, 31254.8340309469, 8.190218921346633E-6, 3.7618078949048128E16, 0.8480103626424785, 0.22662635035080947, 0.16914742544249567, 0.7305577564669492, 0.02586498420360624, 1.891554093170192, 0.9923, 210836.57264675014, 210836.57264675014, 8.8424858568047E9, 5.877398750527702E9, 1.3519933416959211E-5, 166.0894146751013, 0.004151809861131, 0.00943074995438872, 0.0017200499152240083, 36.230361763112874, -4.853958207306524, 0.0131579689262893, -52.1513, 165.1388, 10822
29567.588713011442, 322.62256912758687, 0.059969630559340174, 20.0, 0.013758373581152459, 1664.9177940571383, 28.764665908082225, 31405.946457546757, 8.196522011452535E-6, 3.7567555409114936E16, 0.848086702708825, 0.22670040657850568, 0.16930732050368305, 0.7305807761003218, 0.006570919642099965, 1.9108377049189984, 0.9923, 211417.10591995707, 211417.10591995707, 8.866833422282999E9, 5.885664488973307E9, 1.3513718985478467E-5, 165.60285929778914, 0.004161509756795663, 0.00944534029593139, 0.001726028535419454, 36.24750687949475, -4.857137300681819, 0.012707762432473898, -52.1539, 165.1707, 10823
29627.588713011442, 322.7905358057077, 0.059969630559340174, 20.0, 0.013758373581152459, 1669.2765998083532, 28.793350093959653, 31557.041379355724, 8.20278090375821E-6, 3.7517086548708368E16, 0.8481624078894164, 0.22677391808289257, 0.169466069114629, 0.7305946222031151, -0.007761144181746787, 1.9252586931080327, 0.9923, 211998.99664698011, 211998.99664698011, 8.891237919374346E9, 5.893933454915031E9, 1.3507281592638399E-5, 165.1136232195043, 0.004171160679586028, 0.009459830022239109, 0.0017319833856458031, 36.26466973690446, -4.860315093914056, 0.012259215427220702, -52.1565, 165.2026, 10823
29687.588713011442, 322.9308257103848, 0.059969630559340174, 20.0, 0.013758373581152459, 1673.6308271209448, 28.822005732826167, 31708.112843290557, 8.208995717946864E-6, 3.746667470745612E16, 0.8482374819297653, 0.22684688683774842, 0.16962367484380722, 0.7306112702866299, -0.025798899249212894, 1.9434822385402475, 0.9923, 212582.26785363705, 212582.26785363705, 8.915700313781538E9, 5.902206579632896E9, 1.350062168600744E-5, 164.6217040150765, 0.004180762463939541, 0.009474219128014542, 0.0017379158072233446, 36.28185041026437, -4.863492527742097, 0.011812334958340429, -52.1591, 165.2345, 10823
29747.588713011442, 323.0435452793689, 0.059969630559340174, 20.0, 0.013758373581152459, 1677.9802792977198, 28.850632909743986, 31859.154863854183, 8.21516663775772E-6, 3.7416322233845928E16, 0.8483119293164506, 0.22691931556143433, 0.1697801428780756, 0.7306371459259764, -0.02773879884161277, 1.9457022062227955, 0.9923, 213166.94328501116, 213166.94328501116, 8.940221601373367E9, 5.910484816751413E9, 1.3493740250561216E-5, 164.12714774709946, 0.0041903166241566816, 0.009488508880032453, 0.0017438271424202285, 36.299048982816856, -4.866670538714697, 0.011367128008507948, -52.1618, 165.2664, 10823
29807.588713011442, 323.12880127328896, 0.059969630559340174, 20.0, 0.013758373581152459, 1682.3247590430256, 28.879231709353714, 32010.161422873378, 8.22129396177065E-6, 3.7366031485335056E16, 0.8483857558840364, 0.22699120831146297, 0.16993548130883185, 0.7306749528351063, -0.012922039546034153, 1.9312571447818416, 0.9923, 213753.04741026298, 213753.04741026298, 8.964802808386429E9, 5.918769142251636E9, 1.3486636635991177E-5, 163.62987870927, 0.00419982090739881, 0.009502698014218157, 0.0017497187342370942, 36.3162655459649, -4.8698500589860485, 0.010923601496150771, -52.1644, 165.2984, 10823
29867.588713011442, 323.18670098497785, 0.059969630559340174, 20.0, 0.013758373581152459, 1686.6640684607953, 28.90780221587728, 32161.126469235034, 8.227377662253397E-6, 3.7315804828090152E16, 0.8484589635015448, 0.22706256530883018, 0.17008968994841206, 0.730720075878963, 0.015794517188760314, 1.9030011885449984, 0.9922, 214340.60543579733, 214340.60543579733, 8.98944499197734E9, 5.927060554846468E9, 1.3479312059787061E-5, 163.1299668434729, 0.004209277303917391, 0.009516787878780996, 0.0017555919266775458, 36.33350019974766, -4.873032016918823, 0.010481762273792048, -52.167, 165.3303, 10823
29927.588713011442, 323.2173519801372, 0.059969630559340174, 20.0, 0.013758373581152459, 1690.998009053362, 28.936344513120822, 32312.043918649266, 8.23341809637066E-6, 3.7265644637560152E16, 0.8485315586398149, 0.2271333912822426, 0.1702427783599695, 0.7307455119485441, 0.017155950835752075, 1.902186505430938, 0.9922, 214929.64330541517, 214929.64330541517, 9.014149240229113E9, 5.935360075808298E9, 1.3471766054228493E-5, 162.62736076264792, 0.004218684439720475, 0.00953077791013034, 0.0017614480642528902, 36.350753052311056, -4.876217336412792, 0.010041617132738621, -52.1697, 165.3623, 10823
29987.588713011442, 323.2208623086041, 0.059969630559340174, 20.0, 0.013758373581152459, 1695.3263817183488, 28.964858684477576, 32462.907653350765, 8.239415284161524E-6, 3.721555329786824E16, 0.8486035436816595, 0.22720368699896912, 0.17039474755533454, 0.7307625670671734, 0.007921656369566949, 1.912050877601018, 0.9922, 215520.18771367977, 215520.18771367977, 9.03891667271173E9, 5.943668749338581E9, 1.3463999378797035E-5, 162.1221055544579, 0.004228043600314554, 0.009544669016863183, 0.0017672884922541284, 36.36802422038668, -4.879406937512569, 0.009603172799893138, -52.1723, 165.3943, 10823
30047.588713011442, 323.1973403299574, 0.059969630559340174, 20.0, 0.013758373581152459, 1699.6489867467103, 28.993344812930676, 32613.71152183922, 8.245369500917781E-6, 3.7165533202313912E16, 0.8486749240447297, 0.22727345621154707, 0.1705456050090662, 0.7307598364748572, -0.020768324797256484, 1.941451428771773, 0.9922, 216112.26610859414, 216112.26610859414, 9.063748440594439E9, 5.95198764256031E9, 1.3456011449414997E-5, 161.61414993480582, 0.00423735328335534, 0.009558460449778141, 0.001773114556401443, 36.385313828942, -4.882601735970036, 0.009166435941646999, -52.1749, 165.4263, 10823
