angle, time_diff, t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, c1_esp, CCS, CCS_rest, V, V_rest, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
30, 900.0, 0.0, 0.0, 0.06135526359713373, 20.0, 0.014113583231881104, 15.384787559509277, 3.6509575843811035, 0.0, 1.049793033786834E-6, 5.652E16, 0.4772129549087957, 0.1003190526092572, -0.017109351818909116, 0.6978848670957184, -0.43874937835461736, 1.7877015285861608, 1.0, 352.9215350355194, 352.9215350355194, 1.4801529179389684E7, 1.4801529179389684E7, 1.6969325183810817E-5, 146.5066210196693, 8.776472099442486E-6, 1.5294337934055246E-4, 2.700288516688968E-5, 40.77052181462817, 0.6028902323080487, -0.009822524127634782, -49.9868, 150.5252, 10491
30, 900.0, 1.0, -0.009976321631173079, 0.06135526359713373, 20.0, 0.014113583231881104, 16.634052069809737, 3.654821260939263, 3.637085254586744E-4, 1.049793033786834E-6, 5.5418977945420384E16, 0.4772129549087957, 0.1003190526092572, -0.017109351818909116, 0.6978848670957184, -0.43874937835461736, 1.7877015285861608, 0.98, 381.9830284763506, 381.9830284763506, 1.6020368214298146E7, 1.5708287911282778E7, 1.6590276684336347E-5, 146.49563848312778, 8.776479114439285E-6, 1.5294332711276182E-4, 2.7257141462288068E-5, 40.76864713962075, 0.6007463859644533, -0.009823378251832526, -49.9867, 150.5258, 10491
30, 900.0, 1.0564406686968904, -0.010539724115499525, 0.06135526359713373, 20.0, 0.014113583231881104, 16.701775804092794, 3.6550392076644402, 3.844617233108424E-4, 1.0697657145802896E-6, 5.5418977945420384E16, 0.4817080859701894, 0.10093508179840935, -0.016812695033493127, 0.6905778855928929, 0.39861142528018284, 0.9847185227382029, 0.98, 383.56110224689854, 383.56110224689854, 1.6086552628234925E7, 1.5773206031345468E7, 1.657133712020302E-5, 146.49500407612797, 9.286995916658677E-6, 1.5881827880739993E-4, 2.7271491987082154E-5, 40.768541336215236, 0.6006253958653369, -0.009823389530121492, -49.9867, 150.5259, 10491
30, 900.0, 1.1160668864767327, -0.011134947161552064, 0.06135526359713373, 20.0, 0.014113583231881104, 16.773024882908647, 3.6552694413324955, 4.0641241691577576E-4, 1.0708290542477287E-6, 5.5419058731508016E16, 0.48194503326906135, 0.10096800703812822, -0.016796651315172217, 0.691752282586276, 0.27684098175681415, 1.1086668093942422, 0.98, 385.22162177808354, 385.22162177808354, 1.6156194817372823E7, 1.5841515925838675E7, 1.6551575389756408E-5, 146.49435689115677, 9.314718131649666E-6, 1.59134164248733E-4, 2.7286652473216267E-5, 40.7684295614578, 0.6004975775979826, -0.009823438405594248, -49.9867, 150.5259, 10491
30, 900.0, 1.1790584478599357, -0.011763789163302852, 0.06135526359713373, 20.0, 0.014113583231881104, 16.847968013367474, 3.655512653791278, 4.296312363336089E-4, 1.0719456673471819E-6, 5.541914356997076E16, 0.48219359621049734, 0.1010025945881495, -0.016779777004353916, 0.6970965693756801, -0.6682575378927622, 2.0560885837012792, 0.98, 386.96856701759094, 386.96856701759094, 1.6229461700717764E7, 1.5913381344290318E7, 1.653096691707834E-5, 146.4936513805783, 9.343886836658602E-6, 1.5946620415887967E-4, 2.7302668637932623E-5, 40.76831147835167, 0.6003625458446202, -0.009823490042051372, -49.9867, 150.5259, 10491
30, 900.0, 1.2456052950898682, -0.012428150279393316, 0.06135526359713373, 20.0, 0.014113583231881104, 16.926780558342312, 3.655769575747704, 4.541931521480461E-4, 1.0731178642606438E-6, 5.5419232637858272E16, 0.4824542512473733, 0.10103891773546722, -0.016762033231620926, 0.694243213867843, -0.046950351890237295, 1.4372600371236952, 0.98, 388.8060790116285, 388.8060790116285, 1.63065269537477E7, 1.5988972666147547E7, 1.650948949116526E-5, 146.49292907866547, 9.374574806277155E-6, 1.5981515467346563E-4, 2.7319588776157417E-5, 40.768186730883684, 0.6002198935481995, -0.009823544594811991, -49.9867, 150.526, 10491
30, 900.0, 1.3159080908771277, -0.01313003820798276, 0.06135526359713373, 20.0, 0.014113583231881104, 17.009644673054822, 3.6560409789391177, 4.801777614964726E-4, 1.0743480656423498E-6, 5.5419326117322872E16, 0.482727495280737, 0.10107705333742559, -0.016743379035922754, 0.6897306160717617, 0.4057947303407726, 0.987159694025015, 0.98, 390.7384637379502, 390.7384637379502, 1.6387571169169633E7, 1.6068467058707695E7, 1.648712005866945E-5, 146.4921660093777, 9.406853520641184E-6, 1.6018178265090507E-4, 2.7337463910697745E-5, 40.76805494295067, 0.600069190685582, -0.009823602229487072, -49.9867, 150.526, 10491
30, 900.0, 1.390178823469881, -0.013871574284551144, 0.06135526359713373, 20.0, 0.014113583231881104, 17.09674943401008, 3.6563276784246765, 5.07669595522701E-4, 1.0756387294382908E-6, 5.5419424195500072E16, 0.4830138290817115, 0.10111707956808558, -0.016723772433540382, 0.6959162291273793, -0.4347812792730034, 1.8305578788363517, 0.98, 392.7701958242495, 392.7701958242495, 1.6472782012869025E7, 1.6152048630351016E7, 1.6463836402385538E-5, 146.49133807418957, 9.440796503137203E-6, 1.6056687203151995E-4, 2.735634794302354E-5, 40.76791571722654, 0.5999099829729908, -0.00982366311993199, -49.9867, 150.526, 10491
30, 900.0, 1.4686414458747774, -0.014654999929393784, 0.06135526359713373, 20.0, 0.014113583231881104, 17.188290959481463, 3.656630535003255, 5.367584490758334E-4, 1.0769923828808144E-6, 5.5419527064356472E16, 0.4833137640534247, 0.10115907691621481, -0.016703169897878983, 0.6961032140868619, -0.5123844235895259, 1.9111726914175335, 0.98, 394.90592213889516, 394.90592213889516, 1.6562354374505263E7, 1.6239908578539718E7, 1.6439618547115423E-5, 146.49048643754276, 9.47648551350037E-6, 1.609712618289155E-4, 2.737629781846994E-5, 40.76776863396477, 0.5997417904975992, -0.009823727449869417, -49.9867, 150.5261, 10491
30, 900.0, 1.5515325511559177, -0.01548268346550791, 0.06135526359713373, 20.0, 0.014113583231881104, 17.28447252077945, 3.656950457764683, 5.675397354574235E-4, 1.0784116485565837E-6, 5.541963492050224E16, 0.4836278276102258, 0.10120312900119338, -0.016681525922339555, 0.6942898984346421, -0.15084587845938058, 1.552848177717852, 0.98, 397.1504652421715, 397.1504652421715, 1.6656490512256673E7, 1.633224533209679E7, 1.6414445703024227E-5, 146.48956493641768, 9.513999109556127E-6, 1.6139578941142682E-4, 2.7397373695480507E-5, 40.76761324973351, 0.5995641062722097, -0.009823795414542532, -49.9867, 150.5261, 10491
30, 900.0, 1.6391020858481498, -0.016357127317932638, 0.06135526359713373, 20.0, 0.014113583231881104, 17.38550464358493, 3.657288406781483, 6.001148674570345E-4, 1.0798991726288065E-6, 5.5419747964965904E16, 0.4839565468792254, 0.10124932035142017, -0.01665879407282575, 0.6828603188106696, 0.6992041641223465, 0.7062280835562522, 0.98, 399.50882668773795, 399.50882668773795, 1.6755400191283729E7, 1.6429264687341753E7, 1.638830011757564E-5, 146.48861445260115, 9.553424876301806E-6, 1.6184134413326783E-4, 2.7419639127624112E-5, 40.76744909607949, 0.5993763947087372, -0.009823867218759164, -49.9867, 150.5262, 10491
30, 900.0, 1.731614103635887, -0.017280975631946933, 0.06135526359713373, 20.0, 0.014113583231881104, 17.491605198689022, 3.657645395948633, 6.345916679371922E-4, 1.0814577033388455E-6, 5.541986640292904E16, 0.48430046565017915, 0.1012977388456088, -0.01663492574799827, 0.6940486233085971, -0.16779570878233177, 1.5768882668703448, 0.98, 401.9861901659454, 401.9861901659454, 1.685930081555975E7, 1.653117993773947E7, 1.636116355182486E-5, 146.4875885255501, 9.594847549288129E-6, 1.6230881674613213E-4, 2.7443161257252964E-5, 40.76727567811643, 0.5991780900054358, -0.009823943080432376, -49.9867, 150.5262, 10491
30, 900.0, 1.8293475615700627, -0.018257022316756574, 0.06135526359713373, 20.0, 0.014113583231881104, 17.602999481558058, 3.6580224959792713, 6.710848116252524E-4, 1.083090007771407E-6, 5.5419990443418248E16, 0.4846601255433014, 0.10134847313162568, -0.01660987140706581, 0.6964020733256355, -0.7241515177876038, 2.1371499195891763, 0.98, 404.58792448296197, 404.58792448296197, 1.6968417552815426E7, 1.6638211996813275E7, 1.633302070654797E-5, 146.4865059247396, 9.638359271831553E-6, 1.6279914058207223E-4, 2.7468011014860667E-5, 40.7670924730341, 0.5989685944435403, -0.009824023228329325, -49.9867, 150.5263, 10491
