angle, time_diff, t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, distance_between_contrails, state_indicator, CCS, CCS_esti, V_inter, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
0.0, 900.0, 1.0, -0.009976321631173079, 0.061339204406533815, 20.0, 0.014110167174222575, 16.634052069807403, 3.6518596798415026, 3.61987368932746E-4, 1.2898758821185991E-6, 5.9553001992397712E16, 0.5261681678565251, 0.10783953533078584, -0.013025417620858584, 0.676511609445219, -0.48767780420351375, 2.58815544142033, 17.198151432892683, 0.0, 381.6734993267609, 381.6734993267609, 1.6007386561764352E7, 3.066796050754425E-5, 146.63389800114257, 1.6299040409349428E-5, 2.3098089535078832E-4, 2.717221231917404E-5, 40.769411696220516, 0.6018956595417051, -0.009823432413654356, -49.9868, 150.5256, 10491
0.0, 900.0, 1.0564406686968904, -0.010543821445330646, 0.061339204406533815, 20.0, 0.014110167174222575, 16.7017758040902, 3.6520777505132007, 3.82643014917058E-4, 1.2908294916831583E-6, 5.9421107988668104E16, 0.5263426163288827, 0.10786931601173406, -0.01300722307241009, 0.6699849235358519, -0.004013334849744519, 2.1066402202885146, 17.198094993846368, 0.0, 383.2503258900254, 383.2503258900254, 1.6073518667827666E7, 3.0541781235804575E-5, 146.63326288839338, 1.633521567454121E-5, 2.3132253809325938E-4, 2.7186562587728726E-5, 40.769305889493005, 0.6017746661145522, -0.009823480611895336, -49.9868, 150.5256, 10491
0.0, 900.0, 1.1160668864767327, -0.011143352407182441, 0.061339204406533815, 20.0, 0.014110167174222575, 16.773024882905762, 3.6523081150958827, 4.0449060336002283E-4, 1.2907437879488557E-6, 5.9432944254871488E16, 0.5263269439301494, 0.10786663970949299, -0.013008858821777367, 0.6790424275094961, -0.749787233063118, 2.852221937639463, 17.198035370951814, 0.0, 384.9095334590713, 384.9095334590713, 1.6143105833273452E7, 3.0410126521661256E-5, 146.63261497667833, 1.6331964046767352E-5, 2.3129182211205465E-4, 2.720172280487741E-5, 40.769194111226554, 0.6016468443033758, -0.009823529432280433, -49.9868, 150.5257, 10491
0.0, 900.0, 1.1790584478599357, -0.01177672251166964, 0.061339204406533815, 20.0, 0.014110167174222575, 16.847968013364266, 3.652551465827498, 4.276004453766539E-4, 1.2906536526646132E-6, 5.9445396966964048E16, 0.5263104599098388, 0.1078638249839631, -0.013010579034749434, 0.672818986368101, -0.19284211451098102, 2.2950744921910275, 17.197972382069274, 0.0, 386.6550989020243, 386.6550989020243, 1.6216314847950898E7, 3.027283914041948E-5, 146.6319304965886, 1.6328544758626558E-5, 2.312595200759574E-4, 2.7217738683549885E-5, 40.76907602441411, 0.6015118087753137, -0.009823581010612798, -49.9868, 150.5257, 10491
0.0, 900.0, 1.2456052950898682, -0.012445841814345604, 0.061339204406533815, 20.0, 0.014110167174222575, 16.926780558338745, 3.6528085338267138, 4.520471738975659E-4, 1.290558868796074E-6, 5.94584956608454E16, 0.5262931243846323, 0.10786086505183134, -0.013012387835164549, 0.6632112214838862, 0.3417632937958819, 1.7602560915190397, 17.19790583723897, 0.0, 388.4911600663189, 388.4911600663189, 1.6293319253181415E7, 3.0129765153809204E-5, 146.63118556885118, 1.6324946625623603E-5, 2.312255411470817E-4, 2.7234658520262917E-5, 40.76895127303132, 0.6013691524567832, -0.009823635502416857, -49.9868, 150.5257, 10491
0.0, 900.0, 1.3159080908771277, -0.013152728193801151, 0.061339204406533815, 20.0, 0.014110167174222575, 17.009644673050854, 3.6530800912654535, 4.7791002876157446E-4, 1.2904592112049184E-6, 5.947227104181788E16, 0.5262748959661483, 0.10785775287602532, -0.013014289499338638, 0.6772250540109859, -0.557260627340125, 2.6590558133564124, 17.19783553774962, 0.0, 390.4220196095684, 390.4220196095684, 1.6374299502425298E7, 2.9980756282226407E-5, 146.63042164387574, 1.632116723904004E-5, 2.311898318256537E-4, 2.7252533336618653E-5, 40.76881948096335, 0.6012184453069369, -0.009823693072043874, -49.9868, 150.5258, 10491
0.0, 900.0, 1.390178823469881, -0.013899513443239496, 0.061339204406533815, 20.0, 0.014110167174222575, 17.096749434005673, 3.653366953661524, 5.052731627932038E-4, 1.2903544680780056E-6, 5.9486755009112792E16, 0.5262557356787909, 0.10785448183486544, -0.01301628804698654, 0.6615063115895703, 0.41006095174509594, 1.6914983124648975, 17.197761270629822, 0.0, 392.4521487159809, 392.4521487159809, 1.645944311714824E7, 2.9825667304340745E-5, 146.62959278761923, 1.631719260711058E-5, 2.3115228983107194E-4, 2.727141703364734E-5, 40.76868025087182, 0.6010592330228959, -0.009823753894254564, -49.9868, 150.5258, 10491
0.0, 900.0, 1.4686414458747774, -0.014688449698031535, 0.061339204406533815, 20.0, 0.014110167174222575, 17.188290959476568, 3.6536699822978274, 5.342259703263849E-4, 1.2902443906378593E-6, 5.9501980679141512E16, 0.5262355977585728, 0.10785104415150991, -0.013018388200589412, 0.6701820417802083, -0.015272161360626051, 2.1165831779930313, 17.19768281017564, 0.0, 394.5861906853107, 394.5861906853107, 1.6548944837341933E7, 2.966436103642451E-5, 146.62874019696557, 1.6313019441427327E-5, 2.3111285327675614E-4, 2.7291366553411993E-5, 40.7685331629972, 0.6008910356711534, -0.009823818152225898, -49.9868, 150.5259, 10491
0.0, 900.0, 1.5515325511559177, -0.015521916236147385, 0.061339204406533815, 20.0, 0.014110167174222575, 17.284472520774006, 3.65399008677497, 5.648634404086673E-4, 1.290128750569873E-6, 5.9517982407336752E16, 0.5262144401554958, 0.10784743268728321, -0.01302059428941188, 0.6738373039447413, -0.26400345140995024, 2.3650533326673324, 17.197599921936998, 0.0, 396.82896438252544, 396.82896438252544, 1.6643006766203117E7, 2.9496705312172914E-5, 146.62781767100924, 1.6308633148795125E-5, 2.3107141407757958E-4, 2.7312442054782846E-5, 40.7683777738939, 0.6007133462422192, -0.009823886040995707, -49.9868, 150.5259, 10491
0.0, 900.0, 1.6391020858481498, -0.01640242665256572, 0.061339204406533815, 20.0, 0.014110167174222575, 17.385504643578884, 3.654328227704444, 5.972865367572164E-4, 1.2900072821174797E-6, 5.9534795808455592E16, 0.526192213937419, 0.10784363913324369, -0.013022911353991362, 0.6508450900556968, 0.7477009303822074, 1.353074275863296, 17.197512356276548, 0.0, 399.1854675379206, 399.1854675379206, 1.674183850854039E7, 2.9322578033515673E-5, 146.62686612368435, 1.630402981763364E-5, 2.310279043647368E-4, 2.733470709083354E-5, 40.76821361509408, 0.600525629123807, -0.009823957765171327, -49.9868, 150.5259, 10491
