angle, time_diff, t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, distance_between_contrails, state_indicator, c1_esp, CCS, CCS_rest, V, V_rest, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
0.0, 900.0, 24107.40480332372, 350.6051426980122, 0.061339204406533815, 20.0, 0.014110167174222575, 1076.2514082102143, 26.33679712132839, 10042.220370131809, 6.116007672651056E-6, 8.8184340686588416E16, 0.8158360757548494, 0.20061308621136328, 0.11514908869198806, 0.7199049398113686, -5.182727662687188E-4, 1.8775336964192473, 4408.501681037577, 2.0, 1.0, 164607.14059216098, 164607.14059216098, 6.903623476435231E9, 6.903623476435231E9, 1.1262407899846268E-5, 174.387474612219, 0.001723235011720172, 0.005260600272295887, 8.839903849785299E-4, 35.99355598070947, -4.6401907821422075, 0.005654155783793394, -51.9707, 162.8361, 10836
0.0, 900.0, 24167.40480332372, 350.63696110988286, 0.061339204406533815, 20.0, 0.014110167174222575, 1082.0293070690636, 26.368923047233427, 10312.401483753547, 6.122840939770031E-6, 8.8184340686588416E16, 0.8159718155679221, 0.20070516884001097, 0.11533143564668316, 0.7199627380365237, -0.015157732243227265, 1.8929942506554847, 4416.258754363331, 2.0, 1.0, 165097.3489672643, 165097.3489672643, 6.924182815687064E9, 6.924182815687064E9, 1.1266711918987581E-5, 174.38799072752255, 0.0017290877021827983, 0.005272368153113504, 9.010328993361088E-4, 35.97549044408207, -4.625704766214357, 0.005802668785973823, -51.9732, 162.8676, 10836
0.0, 900.0, 24227.40480332372, 350.67677302367025, 0.061339204406533815, 20.0, 0.014110167174222575, 1087.9375316687826, 26.401009880908436, 10585.548023690688, 6.129693597553241E-6, 8.8184340686588416E16, 0.8161076865290925, 0.20079746206485777, 0.1155142713310745, 0.7200383499965011, -0.05409462652941393, 1.9329655311908072, 4424.324208417731, 2.0, 1.0, 165590.07015683115, 165590.07015683115, 6.944847542377499E9, 6.944847542377499E9, 1.127101251192532E-5, 174.38863587341703, 0.001734969722665403, 0.005284184188761257, 9.181471772562083E-4, 35.95735785188456, -4.611299691418667, 0.005947708278181628, -51.9757, 162.8992, 10836
0.0, 900.0, 24287.40480332372, 350.72436831266526, 0.061339204406533815, 20.0, 0.014110167174222575, 1093.9772971324812, 26.43305776471447, 10861.673330933312, 6.136566011520926E-6, 8.8184340686588416E16, 0.8162436944356429, 0.20088997047831217, 0.11569760523599934, 0.7199139437311864, 0.03080997337481901, 1.8493077367941695, 4432.701704789552, 2.0, 1.0, 166085.34518695247, 166085.34518695247, 6.965619377140787E9, 6.965619377140787E9, 1.1275309563038833E-5, 174.38941005107745, 0.001740881562683861, 0.005296049132966958, 9.353334001545665E-4, 35.939159053985264, -4.596975131586005, 0.006089294560049307, -51.9782, 162.9307, 10836
0.0, 900.0, 24347.40480332372, 350.7795380115323, 0.061339204406533815, 20.0, 0.014110167174222575, 1100.1497842885437, 26.465066840150595, 11140.790739035303, 6.143458546856955E-6, 8.8184340686588416E16, 0.8163798450274877, 0.2009826986576155, 0.11588144683632393, 0.7200636003257144, -0.04908972740604797, 1.9306654161312016, 4441.394890750589, 2.0, 1.0, 166583.21539512317, 166583.21539512317, 6.986500053671466E9, 6.986500053671466E9, 1.1279602951840122E-5, 174.39031326191773, 0.0017468237152729973, 0.005307963742121093, 9.525917276435282E-4, 35.920894881622786, -4.582730649317927, 0.006227447744146112, -51.9807, 162.9622, 10836
0.0, 900.0, 24407.40480332372, 350.84207430498606, 0.061339204406533815, 20.0, 0.014110167174222575, 1106.4561393902165, 26.497037247861225, 11422.913574058553, 6.150371568195761E-6, 8.8184340686588416E16, 0.8165161439830586, 0.2010756511619721, 0.11606580558521681, 0.7200535262346778, -0.03510734570290701, 1.9183505609805764, 4450.407397808842, 2.0, 1.0, 167083.7224186809, 167083.7224186809, 7.007491318239477E9, 7.007491318239477E9, 1.1283892552788913E-5, 174.391345507585, 0.0017527966768382077, 0.005319928774927756, 9.699222975267784E-4, 35.90256614736701, -4.568565796133346, 0.006362187756631844, -51.9832, 162.9937, 10836
0.0, 900.0, 24467.40480332372, 350.93548205063365, 0.061339204406533815, 20.0, 0.014110167174222575, 1112.4952060837688, 26.52896912764331, 11687.85132623625, 6.157305439406617E-6, 8.8184340686588416E16, 0.8166525969151817, 0.2011688325296518, 0.11625069090835594, 0.7199968899465738, 0.0018046537101076567, 1.8833136277572324, 4459.742840289661, 2.0, 1.0, 167585.32209218945, 167585.32209218945, 7.028528408546426E9, 7.028528408546426E9, 1.128816873474302E-5, 174.39286807910526, 0.0017587902196540815, 0.005331949403576573, 9.867643276780524E-4, 35.89839129131305, -4.566895514676037, 0.006888726572993772, -51.9856, 163.0251, 10836
0.0, 900.0, 24527.40480332372, 351.066039727978, 0.061339204406533815, 20.0, 0.014110167174222575, 1118.55238367681, 26.560862618453466, 11950.596825854811, 6.164239347216994E-6, 8.8184340686588416E16, 0.8167887938140467, 0.20126196293346696, 0.11643554769058259, 0.7200804795997093, -0.042461994274101814, 1.9296538538097108, 4470.415521869209, 2.0, 1.0, 168089.46962882974, 168089.46962882974, 7.049672356233119E9, 7.049672356233119E9, 1.1292443756111624E-5, 174.3949842135941, 0.0017647931571892336, 0.005343990966925929, 0.0010035806555349718, 35.897754048058005, -4.568507615480197, 0.007519926358636843, -51.9881, 163.0566, 10836
0.0, 900.0, 24587.40480332372, 351.23416276476513, 0.061339204406533815, 20.0, 0.014110167174222575, 1124.7278085596085, 26.592717858415025, 12216.215788540532, 6.171193309026694E-6, 8.8184340686588416E16, 0.8169251274900953, 0.20135531111304505, 0.11662090944878306, 0.7199994776349655, 0.0015216632229889504, 1.8879444392502815, 4482.693884078051, 2.0, 1.0, 168596.69488352255, 168596.69488352255, 7.070945383414936E9, 7.070945383414936E9, 1.1296720734999771E-5, 174.39771973577797, 0.0017708252458277474, 0.005356088578050659, 0.0010205252122671574, 35.89711036565247, -4.570322486830754, 0.008158105638049782, -51.9906, 163.0881, 10836
0.0, 900.0, 24647.40480332372, 351.440266382068, 0.061339204406533815, 20.0, 0.014110167174222575, 1131.0226806965595, 26.624534984825033, 12484.727708013355, 6.178174246006225E-6, 8.8184340686588416E16, 0.8170617317678294, 0.2014489695595717, 0.1168069603540916, 0.7199375352719446, 0.03251634974353037, 1.8594238127146017, 4495.571807639053, 2.0, 1.0, 169107.0825798903, 169107.0825798903, 7.092351043400599E9, 7.092351043400599E9, 1.130099863383675E-5, 174.40107466960077, 0.0017768924652060093, 0.005368254434924084, 0.001037601629110085, 35.89646282136711, -4.57234221647992, 0.008803273479378775, -51.993, 163.1195, 10836
