angle, time_diff, t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, CCS_rest, V, V_rest, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
35.0, 900.0, 0.0, 0.0, 0.06135526359713373, 20.0, 0.014113583231881104, 15.384787559509277, 3.6509575843811035, 0.0, 1.049793033786834E-6, 5.652E16, 0.4772129549087957, 0.1003190526092572, -0.017109351818909116, 0.6978848670957184, -0.43874937835461736, 1.7877015285861608, 352.9215350355194, 352.9215350355194, 1.4801529179389684E7, 1.4801529179389684E7, 1.6969325183810817E-5, 146.5066210196693, 8.776472099442486E-6, 1.5294337934055246E-4, 2.700288516688968E-5, 40.77052181462817, 0.6028902323080487, -0.009822524127634782, -49.9868, 150.5252, 10491
35.0, 900.0, 1.0, -0.009976321631173079, 0.06135526359713373, 20.0, 0.014113583231881104, 16.634052069809737, 3.654821260939263, 3.637085254586744E-4, 1.049793033786834E-6, 5.5558869905333432E16, 0.4772129549087957, 0.1003190526092572, -0.017109351818909116, 0.6978848670957184, -0.43874937835461736, 1.7877015285861608, 381.9830284763506, 381.9830284763506, 1.6020368214298146E7, 1.5747939728480706E7, 1.6592662224833777E-5, 146.49563848312778, 8.776479114439285E-6, 1.5294332711276182E-4, 2.7257141462288068E-5, 40.76864713962075, 0.6007463859644533, -0.009823378251832526, -49.9867, 150.5258, 10491
35.0, 900.0, 1.0564406686968904, -0.010539724974758661, 0.06135526359713373, 20.0, 0.014113583231881104, 16.701775804092794, 3.6550392076644402, 3.844617233108424E-4, 1.0698169865226059E-6, 5.5558869905333432E16, 0.48171951650813294, 0.10093666910817127, -0.016811922012141725, 0.6752051972334439, 0.9292768149065825, 0.45415736679451546, 383.56110224689854, 383.56110224689854, 1.6086552628234925E7, 1.581301715457584E7, 1.6573841853180356E-5, 146.4950040761153, 9.288331307580655E-6, 1.5883350291985107E-4, 2.727149198681622E-5, 40.76854133621521, 0.6006253958664876, -0.009823389530121492, -49.9867, 150.5259, 10491
35.0, 900.0, 1.1160668864767327, -0.011134948976908927, 0.06135526359713373, 20.0, 0.014113583231881104, 16.773024882908647, 3.6552694413324955, 4.064124169012995E-4, 1.0708830029364252E-6, 5.5558934858915896E16, 0.4819570484952431, 0.10096967782196535, -0.016795836670751838, 0.6948331650935909, -0.11050513372083952, 1.4961243189173163, 385.22162177808354, 385.22162177808354, 1.6156194817372823E7, 1.588149464440463E7, 1.6554204490517792E-5, 146.49435689112997, 9.316126037454086E-6, 1.5915019910642277E-4, 2.728665247348217E-5, 40.76842956145774, 0.6004975776004149, -0.009823438405591068, -49.9867, 150.5259, 10491
35.0, 900.0, 1.1790584478599357, -0.011763792042352027, 0.06135526359713373, 20.0, 0.014113583231881104, 16.847968013367474, 3.655512653791278, 4.296312363489022E-4, 1.0720024213398206E-6, 5.55590030603328E16, 0.48220622291559556, 0.10100435291213965, -0.01677891860313048, 0.6913471691772057, 0.3052331029023752, 1.0827170153332188, 386.96856701759094, 386.96856701759094, 1.6229461700717764E7, 1.5953536344025457E7, 1.6533725709550016E-5, 146.49365138053582, 9.345371047042263E-6, 1.5948309043145326E-4, 2.7302668637932623E-5, 40.76831147835158, 0.6003625458484785, -0.009823490042044634, -49.9867, 150.5259, 10491
35.0, 900.0, 1.2456052950898682, -0.012428154341654642, 0.06135526359713373, 20.0, 0.014113583231881104, 16.926780558342312, 3.655769575747704, 4.541931521480461E-4, 1.073177557175679E-6, 5.555907465029728E16, 0.4824675171393658, 0.10104076783057943, -0.016761128841647807, 0.6861113469987544, 0.6170284676662524, 0.7734085234530804, 388.8060790116285, 388.8060790116285, 1.63065269537477E7, 1.6029313045077682E7, 1.651238344444587E-5, 146.49292907860547, 9.376139294707828E-6, 1.598329348225002E-4, 2.7319588775891587E-5, 40.76818673088355, 0.6002198935536387, -0.009823544594801314, -49.9867, 150.526, 10491
35.0, 900.0, 1.3159080908771277, -0.013130043586193801, 0.06135526359713373, 20.0, 0.014113583231881104, 17.009644673054822, 3.6560409789391177, 4.801777614964726E-4, 1.074410836237864E-6, 5.5559149773432984E16, 0.48274142898242983, 0.1010789996024855, -0.01674242632379927, 0.6974369301869576, -0.837342348006841, 2.2304329061077697, 390.7384637379502, 390.7384637379502, 1.6387571169169633E7, 1.6109002343042193E7, 1.6490154783341295E-5, 146.49216600929827, 9.4085024507755E-6, 1.6020050097868103E-4, 2.7337463910697745E-5, 40.768054942950485, 0.6000691906927864, -0.009823602229472013, -49.9867, 150.526, 10491
35.0, 900.0, 1.390178823469881, -0.013871581126095142, 0.06135526359713373, 20.0, 0.014113583231881104, 17.09674943401008, 3.6563276784246765, 5.07669595522701E-4, 1.0757047217021194E-6, 5.5559228578159048E16, 0.4830284601302771, 0.10111912657304545, -0.016722768960950166, 0.6731354873183772, 0.9436229039483646, 0.45229929311208594, 392.7701958242495, 392.7701958242495, 1.6472782012869025E7, 1.61927887907878E7, 1.646701764600121E-5, 146.4913380740885, 9.442534236478032E-6, 1.6058657473678296E-4, 2.735634794328929E-5, 40.767915717226316, 0.5999099829821559, -0.00982366311991204, -49.9867, 150.526, 10491
35.0, 900.0, 1.4686414458747774, -0.014655008397876814, 0.06135526359713373, 20.0, 0.014113583231881104, 17.188290959481463, 3.656630535003255, 5.367584490758334E-4, 1.0770617461083268E-6, 5.555931121654692E16, 0.48332912289537383, 0.10116122940504765, -0.016702113118132716, 0.6926690812968316, 0.09868122706696986, 1.300262781726833, 394.90592213889516, 394.90592213889516, 1.6562354374505263E7, 1.6280864046866437E7, 1.644295218810968E-5, 146.4904864374177, 9.478316618261645E-6, 1.6099199706528082E-4, 2.7376297818735642E-5, 40.76776863396448, 0.5997417905089395, -0.009823727449844055, -49.9867, 150.5261, 10491
35.0, 900.0, 1.5515325511559177, -0.015482693742499993, 0.06135526359713373, 20.0, 0.014113583231881104, 17.28447252077945, 3.656950457764683, 5.675397354372988E-4, 1.0784845373991832E-6, 5.5559397844147288E16, 0.4836439455879864, 0.10120539189387759, -0.01668041317717317, 0.6893768499555145, 0.3882459313995577, 1.0139229780709735, 397.1504652421715, 397.1504652421715, 1.6656490512256673E7, 1.6373427018069295E7, 1.6417937744597098E-5, 146.489564936266, 9.515928367074282E-6, 1.6141760733200228E-4, 2.7397373695480507E-5, 40.76761324973316, 0.5995641062859662, -0.009823795414511125, -49.9867, 150.5261, 10491
